Name,Image,Image SH,#1,Material 1,#2,Material 2,#3,Material 3,#4,Material 4,#5,Material 5,#6,Material 6,Buy,Sell,Exchange Price,Exchange Currency,Source,Source Notes,Season/Event,Season/Event Exclusive,Version Added,Unlocked?,Recipes to Unlock,Category,Crafted Item Internal ID,Card Color,DIY Icon Filename,DIY Icon Filename SH,Serial ID,Internal ID,Unique Entry ID,Internal ID as hex
cardboard chair,,,1,cardboard box,,,,,,,,,,,NFS,200.0,,,Lazy villagers,,,,1.0.0,Yes,1,Housewares,7163,yellow,FtrCardboardChairS,,2130,498,keFZfoTQf5ShhZn7b,01F2
cardboard sofa,,,2,cardboard box,,,,,,,,,,,NFS,200.0,,,Peppy villagers,,,,1.0.0,Yes,1,Housewares,7159,yellow,FtrCardboardSofaL,,2131,500,XfuFR6TygpGsHECLn,01F4
cardboard table,,,4,cardboard box,,,,,,,,,,,NFS,200.0,,,Peppy villagers,,,,1.0.0,Yes,1,Housewares,7160,yellow,FtrCardboardTableL,,2132,496,nXCaiKb8ZKtRdFrps,01F0
carp on a cutting board,,,1,carp,1.0,wood,,,,,,,,,NFS,200.0,,,Lazy villagers,,,,2.0.0,Yes,0,Miscellaneous,12709,yellow,FtrManaitafish,,2169,1059,8gdsJ5gZNX6wc5hxn,0423
carpaccio di capesante,,,2,scallop,,,,,,,,,,,NFS,200.0,,,All villagers,,,,2.0.0,Yes,0,Savory,14172,color_69,FtrCarpaccioScallop,,13401,952,CHgpjoivfXi5sSEH7,03B8
carpaccio di marlin blu,,,1,blue marlin,,,,,,,,,,,NFS,200.0,,,Catching a blue marlin,,,,2.0.0,Yes,0,Savory,14167,color_65,FtrCarpaccioMarlin,,13404,947,wpSKssWkmQXBWqnaz,03B3
carpaccio di salmone,,,1,salmon,,,,,,,,,,,NFS,200.0,,,Catching a salmon,,,,2.0.0,Yes,0,Savory,14166,color_61,FtrCarpaccioSalmon,,13402,946,bmorWDJkmeN8W4o3g,03B2
carrot bagel sandwich,,,2,whole-wheat flour,3.0,carrot,,,,,,,,,NFS,200.0,,,All villagers,,,,2.0.0,Yes,0,Savory,14126,color_66,FtrBeaglesandCarrot,,12412,934,qsyD5aLzCKuWSAvnL,03A6
carrot cake,,,1,flour,1.0,sugar,1.0,carrot,,,,,,,NFS,200.0,,,Basic Cooking Recipes,,,,2.0.0,Yes,0,Sweet,13946,color_73,FtrTartCarrot,,14507,859,oJ8GGAdE2Q5kt6yWx,035B
carrot juice,,,2,carrot,,,,,,,,,,,NFS,200.0,,,All villagers,,,,2.0.0,Yes,0,Sweet,13984,color_76,FtrSmoothieCarrot,,15008,893,jvpGM4tN7WzkhSLHN,037D
carrot potage,,,1,flour,2.0,carrot,,,,,,,,,NFS,200.0,,,Be a Chef! DIY Recipes+,,,,2.0.0,Yes,0,Savory,13931,color_62,FtrSoupCarrot,,12101,844,9ZRNwBLXsgaRfEmwb,034C
carrot scones,,,2,whole-wheat flour,1.0,sugar,2.0,carrot,,,,,,,NFS,200.0,,,All villagers,,,,2.0.0,Yes,0,Sweet,14113,color_62,FtrSconeCarrot,,14403,921,mBQZ8jFDhSvgG2eMx,0399
carrot-tops curry,,,3,flour,3.0,carrot,,,,,,,,,NFS,200.0,,,All villagers,,,,2.0.0,Yes,0,Savory,14122,color_77,FtrNancurryCarrot,,13102,930,wdvtydv4aMz4ELjd2,03A2
cave,,,10,vine,20.0,glowing moss,30.0,stone,,,,,,,NFS,200.0,,,Kapp'n island bottles; HHP island bottles,,,,2.0.0,Yes,0,Housewares,14017,color_56,FtrCave,,1308,762,EpzRc4PyRb2xGfm55,02FA
champiñones al ajillo,,,1,round mushroom,1.0,flat mushroom,1.0,skinny mushroom,1.0,rare mushroom,,,,,NFS,200.0,,,All villagers,,,,2.0.0,Yes,0,Savory,14180,color_64,FtrSkilletMushroom,,12702,960,ycuDRzh8vkpz6LxgT,03C0
cherry dress,,,8,cherry,,,,,,,,,,,NFS,200.0,,,Peppy villagers,,,,1.0.0,Yes,100,Equipment,9838,yellow,TopsTexOnepieceAlineNCherry0,,1726,612,XeA7zE2nkf38vLXR2,0264
cherry hat,,,5,cherry,,,,,,,,,,,NFS,200.0,,,Peppy villagers,,,,1.0.0,Yes,100,Equipment,9873,yellow,CapHatCherry0,,1725,613,t7SsbKgRAa6GWgjR8,0265
cherry jam,,,3,cherry,,,,,,,,,,,NFS,200.0,,,All villagers,,,,2.0.0,Yes,0,Savory,14173,color_76,FtrJarCherry,,13612,953,tfk8s7ffj4DNd4kEo,03B9
cherry jelly,,,2,cherry,,,,,,,,,,,NFS,200.0,,,All villagers,,,,2.0.0,Yes,0,Sweet,13962,color_60,FtrJellyCherry,,14302,871,miB5kPSoPeCtJcnwR,0367
cherry lamp,,,10,cherry,2.0,clay,,,,,,,,,NFS,200.0,,,Peppy villagers; Tom Nook,Obtained during the main storyline during the villager house development quest if the native fruit is cherries,,,1.0.0,Yes,100,Wall-mounted,4012,yellow,FtrFruitsLampW,,1721,162,6hBjge6rn7Sxd5sr7,00A2
cherry pie,,,3,flour,2.0,sugar,2.0,cherry,,,,,,,NFS,200.0,,,All villagers,,,,2.0.0,Yes,0,Sweet,13937,color_68,FtrPieCherry,,14902,850,QsEtGJy2spmTsiGZs,0352
cherry rug,,,6,cherry,,,,,,,,,,,NFS,200.0,,,Peppy villagers,,,,1.0.0,Yes,100,Rugs,7328,yellow,RugOtherCherryM00,,1723,543,pMnYDcm7v9cjAdLj2,021F
cherry smoothie,,,2,cherry,,,,,,,,,,,NFS,200.0,,,All villagers,,,,2.0.0,Yes,0,Sweet,13991,color_76,FtrSmoothieCherry,,15002,900,oxbnwb526u3d56MoZ,0384
cherry speakers,,,10,cherry,2.0,iron nugget,,,,,,,,,NFS,200.0,,,Peppy villagers; Tom Nook,Obtained during the main storyline during the villager house development quest if the native fruit is cherries,,,1.0.0,Yes,100,Miscellaneous,4011,yellow,FtrFruitsMusic,,1720,161,TtSKEhTt2uf2P9Mcj,00A1
cherry tart,,,1,flour,1.0,sugar,1.0,cherry,,,,,,,NFS,200.0,,,All villagers,,,,2.0.0,Yes,0,Sweet,13952,color_70,FtrTartCherry,,14502,865,XwhvFXRYNmrgPic2F,0361
cherry umbrella,,,7,cherry,,,,,,,,,,,NFS,200.0,,,Peppy villagers,,,,1.0.0,Yes,100,Equipment,9949,yellow,UmbrellaCherry0,,1724,614,pKzsdzbBmNX3hZd7R,0266
cherry wall,,,20,cherry,,,,,,,,,,,NFS,200.0,,,Peppy villagers,,,,1.0.0,Yes,100,Wallpaper,4919,yellow,RoomTexWallCherry00,,1722,307,c4EyTmXti6TusMbGF,0133
cherry-blossom bonsai,,,6,cherry-blossom petal,2.0,hardwood,3.0,clump of weeds,3.0,clay,,,,,NFS,200.0,,,Balloons,,cherry-blossom petals,Yes,1.0.0,Yes,0,Miscellaneous,6030,pink,FtrBonsaiSakura,,3401,375,ToGQibiXb4sB3pT7B,0177
cherry-blossom branches,,,8,cherry-blossom petal,4.0,tree branch,5.0,clay,,,,,,,NFS,200.0,,,Balloons,,cherry-blossom petals,Yes,1.0.0,Yes,0,Housewares,6031,pink,FtrSakuraBranch,,3402,419,6P3zgNBfKCc3vZxjJ,01A3
cherry-blossom clock,,,5,cherry-blossom petal,1.0,iron nugget,,,,,,,,,NFS,200.0,,,Balloons,,cherry-blossom petals,Yes,1.0.0,Yes,0,Wall-mounted,6832,pink,FtrSakuraClockW,,3430,426,9kPKbzAAQzJTu9758,01AA
cherry-blossom flooring,,,10,cherry-blossom petal,20.0,clump of weeds,,,,,,,,,NFS,200.0,,,Balloons,,cherry-blossom petals,Yes,1.0.0,Yes,0,Floors,7204,pink,RoomTexFloorSakura00,,3460,479,Bthw6qsrWMxRp4L2J,01DF
cherry-blossom pochette,,,6,cherry-blossom petal,,,,,,,,,,,NFS,200.0,,,Balloons,,cherry-blossom petals,Yes,1.0.0,Yes,0,Equipment,7490,pink,BagShoulderCherryblossoms0,,3481,630,vh9iLeDKLo3LR8T4G,0276
cherry-blossom pond stone,,,10,stone,3.0,cherry-blossom petal,,,,,,,,,NFS,200.0,,,Balloons,,cherry-blossom petals,Yes,1.0.0,Yes,0,Housewares,7409,light gray,FtrStonewaterbowlSakura,,820,511,5kPZxufBzifksrFoK,01FF
cherry-blossom rug,,,6,cherry-blossom petal,,,,,,,,,,,NFS,200.0,,,Balloons,,cherry-blossom petals,Yes,2.0.0,Yes,0,Rugs,12351,pink,RugOtherSakuraM00,,3470,839,Fd5KdxusZFatkMdbm,0347
cherry-blossom umbrella,,,7,cherry-blossom petal,,,,,,,,,,,NFS,200.0,,,Balloons,,cherry-blossom petals,Yes,1.0.0,Yes,0,Equipment,9945,pink,UmbrellaCherryblossom0,,3480,629,Ss2QnC4nP26NFyexM,0275
cherry-blossom wand,,,3,cherry-blossom petal,3.0,star fragment,,,,,,,,,NFS,200.0,,,Balloons,,cherry-blossom petals,Yes,1.0.0,Yes,0,Tools,7589,pink,ToolStickCherryblossom,,3490,537,TRZ2p8L58k3FvGpPJ,0219
cherry-blossom-petal pile,,,5,cherry-blossom petal,,,,,,,,,,,NFS,200.0,,,Balloons,,cherry-blossom petals,Yes,1.0.0,Yes,0,Housewares,6032,pink,FtrSakuraPetal,,3400,418,Brh7tns5YQ2rzkYLN,01A2
cherry-blossom-trees wall,,,10,cherry-blossom petal,5.0,hardwood,,,,,,,,,NFS,200.0,,,Balloons,,cherry-blossom petals,Yes,1.0.0,Yes,0,Wallpaper,7205,pink,RoomSpWallSakura00,,3450,480,C4v4pT2hwNJdB82tD,01E0
chic cosmos wreath,,,10,black cosmos,,,,,,,,,,,NFS,200.0,,,All villagers,,,,1.0.0,Yes,200,Wall-mounted,5764,green,FtrDoorOrnamentWreathCosmosRare,,7848,444,XgThrnxG75cqkssWt,01BC
chic mum crown,,,3,purple mums,3.0,pink mums,,,,,,,,,NFS,200.0,,,All villagers,,,,1.0.0,Yes,100,Equipment,5118,green,CapOrnamentMum2,,8204,259,tZEt9aNRec7gTZDjp,0103
chic rose crown,,,3,purple roses,3.0,black roses,,,,,,,,,NFS,200.0,,,All villagers,,,,1.0.0,Yes,200,Equipment,5113,green,CapOrnamentRose3,,8214,254,af3PHSYfriLmgvb8b,00FE
chic tulip crown,,,2,purple tulips,2.0,pink tulips,1.0,orange tulips,,,,,,,NFS,200.0,,,All villagers,,,,1.0.0,Yes,100,Equipment,5103,green,CapOrnamentTulip2,,8210,244,AWo72X4YM3PnWSL2P,00F4
chic windflower wreath,,,10,purple windflowers,,,,,,,,,,,NFS,200.0,,,All villagers,,,,1.0.0,Yes,200,Wall-mounted,5765,green,FtrDoorOrnamentWreathAnemoneRare,,7842,440,2W5Pa9MKWHhknBENu,01B8
chocolate herringbone wall,,,15,softwood,,,,,,,,,,,NFS,200.0,,,Smug villagers,,,,1.0.0,Yes,0,Wallpaper,4805,brown,RoomTexWallHerringbone01,,525,313,TvTxY9NBsDvQfXAJH,0139
clackercart,,,2,hardwood,6.0,softwood,,,,,,,,,NFS,200.0,,,Lazy villagers,,,,1.0.0,Yes,0,Housewares,80,brown,FtrKatakatatoy,,402,164,EqWJqEqcpki2TCTXS,00A4
clam chowder,,,1,flour,3.0,manila clam,,,,,,,,,NFS,200.0,,,Turkey Day Recipes,Obtain Turkey Day Recipes from Franklin or buy it from Nook's Cranny,Turkey Day; Turkey Day (days after),Yes,2.0.0,Yes,0,Savory,13328,color_62,FtrClamchowder,,15201,972,z7zkGmyQBd5wzHumd,03CC
classic pitcher,,,4,clay,,,,,,,,,,,NFS,200.0,,,Snooty villagers; Tom Nook,Obtained during the main storyline during the villager house development quest,,,1.0.0,Yes,0,Miscellaneous,4073,brick,FtrPotteryjug,,702,192,jtdnvzuzyxYDa6xov,00C0
classic-library wall,,,10,book,,,,,,,,,,,NFS,200.0,,,Normal villagers,,,,1.0.0,Yes,100,Wallpaper,4837,yellow,RoomTexWallLibrary00,,2103,317,tWZXois4WZ3ztMwv6,013D
clothesline,,,10,tree branch,,,,,,,,,,,NFS,200.0,,,Cranky villagers; Tom Nook,50% chance of being obtained during the main storyline during the villager house development quest,,,1.0.0,Yes,0,Housewares,3229,brown,FtrClothesline,,203,457,kQm8o92yBJJPNpM2o,01C9
coconut cookies,,,1,flour,1.0,sugar,1.0,coconut,,,,,,,NFS,200.0,,,All villagers,,,,2.0.0,Yes,0,Sweet,13989,color_68,FtrCookieCoconut,,14004,898,DRDHZtFKphwFFqmpD,0382
coconut juice,,,1,coconut,,,,,,,,,,,NFS,200.0,,,Snooty villagers,,,,1.0.0,Yes,0,Miscellaneous,3684,green,FtrCoconutjuice,,1840,163,43ztxc7D5XHDmAMXA,00A3
coconut milk,,,2,coconut,,,,,,,,,,,NFS,200.0,,,All villagers,,,,2.0.0,Yes,0,Sweet,13985,color_76,FtrSmoothieCoconut,,15006,894,gCkAxfcMhuDxXCu4D,037E
coconut oil,,,3,coconut,,,,,,,,,,,NFS,200.0,,,All villagers,,,,2.0.0,Yes,0,Savory,14177,color_76,FtrJarCoconut,,13616,957,69bscajYnLLyXgpiv,03BD
coconut pancakes,,,2,flour,2.0,sugar,2.0,coconut,,,,,,,NFS,200.0,,,All villagers,,,,2.0.0,Yes,0,Sweet,14130,color_68,FtrPancakeCocconut,,14802,938,9cSsmgscZES3uYmJE,03AA
coconut pudding,,,1,sugar,2.0,coconut,,,,,,,,,NFS,200.0,,,All villagers,,,,2.0.0,Yes,0,Sweet,13960,color_60,FtrJellyCoconut,,14306,869,96uWdaPQnzcjpPfgc,0365
coconut wall planter,,,1,coconut,5.0,clump of weeds,,,,,,,,,NFS,200.0,,,Snooty villagers,,,,1.0.0,Yes,50,Wall-mounted,4130,green,FtrPlanterPalm,,1842,405,tw8LKPHQrkMZwgAua,0195
colored-leaves flooring,,,10,maple leaf,15.0,clump of weeds,,,,,,,,,NFS,200.0,,,Balloons,,maple leaves,Yes,1.0.0,Yes,0,Floors,4990,brown,RoomTexFloorAutumun00,,4660,476,ENEvnncek9KfcwS9G,01DC
concrete pillar,,,3,stone,1.0,iron nugget,,,,,,,,,NFS,200.0,,,Niko,"Received after donating DIY materials, after 19th HHP house",Happy Home Paradise,Yes,2.0.0,Yes,0,Other,14602,color_51,FtrWallPillarConcrete,,882,837,ER3YvPSaaPNB5PgKd,0345
cookies,,,1,flour,1.0,sugar,,,,,,,,,NFS,200.0,,,All villagers,,,,2.0.0,Yes,0,Sweet,13978,color_61,FtrCookiePlain,,14001,887,ymq2xMNq2bbBo85ZL,0377
cool hyacinth crown,,,4,blue hyacinths,2.0,pink hyacinths,2.0,orange hyacinths,,,,,,,NFS,200.0,,,All villagers,,,,1.0.0,Yes,100,Equipment,5097,green,CapOrnamentHyacinth2,,8221,238,zRzWiZwk8nTjaPxy7,00EE
cool hyacinth wreath,,,3,orange hyacinths,3.0,blue hyacinths,3.0,pink hyacinths,,,,,,,NFS,200.0,,,All villagers,,,,1.0.0,Yes,100,Wall-mounted,5750,green,FtrDoorOrnamentWreathHyacinthMix,,7861,453,HaC5frhoXCDpy5YYj,01C5
cool pansy crown,,,3,orange pansies,3.0,blue pansies,,,,,,,,,NFS,200.0,,,All villagers,,,,1.0.0,Yes,100,Equipment,5106,green,CapOrnamentPansy2,,8218,247,HH3M3xNAeCLsHTZRj,00F7
cool pansy wreath,,,10,purple pansies,,,,,,,,,,,NFS,200.0,,,All villagers,,,,1.0.0,Yes,200,Wall-mounted,5767,green,FtrDoorOrnamentWreathPansyRare,,7859,450,RxiJe64ebSZy3dsHg,01C2
cool windflower crown,,,3,blue windflowers,3.0,pink windflowers,,,,,,,,,NFS,200.0,,,All villagers,,,,1.0.0,Yes,100,Equipment,5100,green,CapOrnamentAnemone2,,8201,241,8KsLNr5dskMACBgmg,00F1
cool windflower wreath,,,3,blue windflowers,3.0,pink windflowers,3.0,white windflowers,,,,,,,NFS,200.0,,,All villagers,,,,1.0.0,Yes,100,Wall-mounted,5746,green,FtrDoorOrnamentWreathAnemoneMix,,7841,441,Aer6cEdrENAWFD4TP,01B9
corral fence,,,6,wood,,,,,,,,,,,NFS,200.0,1000.0,Nook Miles,Nook Miles Redemption,,,,1.0.0,Yes,0,Other,4349,brown,ItemFenceHorizontalWood,,580,269,MRhMdwsDKNuaDfi8s,010D
corrugated iron fence,,,3,iron nugget,3.0,hardwood,,,,,,,,,NFS,200.0,1000.0,Nook Miles,Nook Miles Redemption,,,,2.0.0,Yes,0,Other,14758,dark gray,ItemFenceCorrugatedIron,,974,1010,TqTA95GepiFoFcr32,03F2
cosmos crown,,,2,red cosmos,2.0,yellow cosmos,3.0,white cosmos,,,,,,,NFS,200.0,,,All villagers,,,,1.0.0,Yes,0,Equipment,5108,green,CapOrnamentCosmos1,,8206,249,RBhKgvizEg6uocZvQ,00F9
cosmos shower,,,5,pink cosmos,3.0,iron nugget,,,,,,,,,NFS,200.0,,,Snooty villagers,,,,1.0.0,Yes,50,Housewares,7230,green,FtrFlowerShower,,7802,501,WqnkcGJydxs7ueTdr,01F5
cosmos wand,,,1,white cosmos,3.0,star fragment,,,,,,,,,NFS,200.0,,,Celeste,,,,1.0.0,Yes,0,Tools,5092,green,ToolStickCosmos,,8272,528,qw6sc7YjNoXFjQt7J,0210
cosmos wreath,,,3,yellow cosmos,3.0,white cosmos,3.0,red cosmos,,,,,,,NFS,200.0,,,All villagers; Tom Nook,Obtained during the main storyline during the villager house development quest if the native flower is cosmos,,,1.0.0,Yes,50,Wall-mounted,4293,green,FtrDoorOrnamentWreathCosmos,,7846,227,KwujCjwLcpr42PGb3,00E3
country fence,,,6,hardwood,,,,,,,,,,,NFS,200.0,1000.0,Nook Miles,Nook Miles Redemption,,,,1.0.0,Yes,0,Other,4350,brown,ItemFenceLog,,583,268,Wy3TCH3APTHJrpDhg,010C
crescent-moon chair,,,7,star fragment,1.0,large star fragment,,,,,,,,,NFS,200.0,,,Celeste,,,,1.0.0,Yes,0,Housewares,6829,silver,FtrStarMoonChairL,,2201,432,3FcpSCLM9gcJrNhMu,01B0
crest doorplate,,,4,iron nugget,,,,,,,,,,,NFS,200.0,,,Smug villagers,,,,1.0.0,Yes,50,Wall-mounted,5717,dark gray,FtrDoorOrnamentCrest,,941,469,rBCZK2XaMKZ4jXrNH,01D5
crewed spaceship,,,10,star fragment,20.0,iron nugget,,,,,,,,,NFS,200.0,,,Celeste,,,,1.0.0,Yes,0,Housewares,5676,silver,FtrSpacecraft,,2224,434,2SBnbqnymBq9DczP6,01B2
cute lily crown,,,2,pink lilies,2.0,orange lilies,2.0,white lilies,,,,,,,NFS,200.0,,,All villagers,,,,1.0.0,Yes,100,Equipment,5115,green,CapOrnamentYuri2,,8224,256,WNR9mPLvre4qtfrnQ,0100
cute rose crown,,,3,pink roses,3.0,orange roses,,,,,,,,,NFS,200.0,,,All villagers,,,,1.0.0,Yes,100,Equipment,5112,green,CapOrnamentRose2,,8213,253,GqacSkmPu6G4u43tR,00FD
cutting board,,,2,hardwood,1.0,iron nugget,,,,,,,,,NFS,200.0,,,Normal villagers,,,,1.0.0,Yes,0,Miscellaneous,3618,brown,FtrCuttingboard,,465,284,ebxdGKznZzRDMMccg,011C
dark bamboo bath mat,,,3,bamboo piece,,,,,,,,,,,NFS,200.0,,,Cranky villagers,,,,2.0.0,Yes,50,Rugs,12400,green,RugRectBambooS01,,2472,988,isngE8wycPdTNcA7Z,03DC
dark bamboo rug,,,6,bamboo piece,,,,,,,,,,,NFS,200.0,,,Cranky villagers,,,,1.0.0,Yes,50,Rugs,11114,green,RugRectBambooM01,,2470,672,4FRs7iQAhxjseeyWP,02A0
dark cosmos crown,,,7,black cosmos,,,,,,,,,,,NFS,200.0,,,All villagers,,,,1.0.0,Yes,200,Equipment,5110,green,CapOrnamentCosmos3,,8208,251,yoXYwWGZ7xpNi9P4W,00FB
dark lily crown,,,6,black lilies,,,,,,,,,,,NFS,200.0,,,All villagers,,,,1.0.0,Yes,200,Equipment,5116,green,CapOrnamentYuri3,,8225,257,Fr3oaQMDbkQ9N9i8t,0101
dark lily wreath,,,10,black lilies,,,,,,,,,,,NFS,200.0,,,All villagers,,,,1.0.0,Yes,200,Wall-mounted,5770,green,FtrDoorOrnamentWreathYuriRare,,7865,454,ExWh3urifQgJTCCH3,01C6
dark rose wreath,,,3,black roses,6.0,purple roses,,,,,,,,,NFS,200.0,,,All villagers,,,,1.0.0,Yes,200,Wall-mounted,5766,green,FtrDoorOrnamentWreathRoseRare,,7854,446,utyr7MwFDwd8syFcW,01BE
dark tulip crown,,,5,black tulips,,,,,,,,,,,NFS,200.0,,,All villagers,,,,1.0.0,Yes,200,Equipment,5104,green,CapOrnamentTulip3,,8211,245,xJjpphgWJpHubYFET,00F5
dark tulip wreath,,,10,black tulips,,,,,,,,,,,NFS,200.0,,,All villagers,,,,1.0.0,Yes,200,Wall-mounted,5771,green,FtrDoorOrnamentWreathTulipRare,,7851,362,oCnpF6D3PyAJ5kGz8,016A
dark wooden-mosaic wall,,,15,wood,,,,,,,,,,,NFS,200.0,,,Big Sister villagers,,,,1.0.0,Yes,0,Wallpaper,4860,brown,RoomTexWallMixPlankWood01,,522,311,sEZQCkucygfgPphNu,0137
decayed tree,,,10,hardwood,,,,,,,,,,,NFS,200.0,,,Smug villagers,,,,2.0.0,Yes,0,Housewares,14549,brown,FtrDeadtree,,443,1043,KgaQ5v3R4eeN7wLnf,0413
decoy duck,,,4,softwood,,,,,,,,,,,NFS,200.0,,,Smug villagers,,,,1.0.0,Yes,0,Miscellaneous,1797,brown,FtrDecoy,,466,390,Rb8PSLPkNwP7hCk8G,0186
deer decoration,,,8,softwood,,,,,,,,,,,NFS,200.0,,,Lazy villagers,,,,1.0.0,Yes,50,Wall-mounted,3340,brown,FtrHuntingtrophy,,482,378,BTF82ckDtSkknQmua,017A
deer scare,,,3,bamboo piece,8.0,stone,3.0,clump of weeds,,,,,,,NFS,200.0,,,Cranky villagers,,,,1.0.0,Yes,50,Housewares,677,green,FtrShishiodoshi,,2408,359,Tdhp7ADcciKJj7y3H,0167
destinations signpost,,,4,hardwood,8.0,softwood,,,,,,,,,NFS,200.0,1500.0,Nook Miles,Nook Miles Redemption,,,,1.0.0,Yes,0,Housewares,4309,brown,FtrSignpostWorld,,441,383,39ryJtTNCrokaosYW,017F
dharma,,,3,mini dharma,,,,,,,,,,,NFS,200.0,,,Cranky villagers,,,,2.0.0,Yes,50,Miscellaneous,1573,yellow,FtrDharma,,2162,824,2fuiLiwuNQqwk7w4J,0338
DIY workbench,,,5,wood,5.0,hardwood,5.0,softwood,3.0,iron nugget,1.0,mini DIY workbench,,,NFS,200.0,,,Big Sister villagers,,,,1.0.0,Yes,100,Housewares,1241,brown,FtrWorkbench,,302,263,sjr8rh3ZujiLscc3C,0107
document stack,,,1,scattered papers,,,,,,,,,,,NFS,200.0,,,Smug villagers,,,,1.0.0,Yes,100,Miscellaneous,1750,yellow,FtrOfficePapers,,2120,462,rLvnyoEj48NFgsNpX,01CE
doghouse,,,10,wood,7.0,hardwood,,,,,,,,,NFS,200.0,,,Jock villagers,,,,1.0.0,Yes,0,Housewares,1799,brown,FtrDoghouse,,430,14,vMF3FP2steT4gaJ9u,000E
donation box,,,4,wood,4.0,softwood,,,,,,,,,NFS,200.0,800.0,Nook Miles,Nook Miles Redemption,,,,2.0.0,Yes,0,Miscellaneous,14714,brown,FtrDonationBox,,471,1039,YHaQu8WjCydGzDHKv,040F
drinking fountain,,,8,stone,2.0,iron nugget,,,,,,,,,NFS,200.0,800.0,Nook Miles,Nook Miles Redemption,,,,1.0.0,Yes,0,Housewares,2319,light gray,FtrDrinkingfountain,,803,77,tsTxksskAQtbvJMWB,004D
earth-egg outfit,,,3,earth egg,,,,,,,,,,,NFS,,,,Collecting earth eggs,,Bunny Day (days before); Bunny Day,Yes,1.1.0,Yes,0,Equipment,12449,yellow,TopsTexOnepieceRibNEggground0,,8661,674,7Mt6bHNy79mjNGipa,02A2
earth-egg shell,,,2,earth egg,,,,,,,,,,,NFS,,,,Collecting earth eggs,,Bunny Day (days before); Bunny Day,Yes,1.1.0,Yes,0,Equipment,12439,yellow,CapHatEggground0,,8660,673,C9wvFR7fBGccZDyWa,02A1
earth-egg shoes,,,2,earth egg,,,,,,,,,,,NFS,,,,Collecting earth eggs,,Bunny Day (days before); Bunny Day,Yes,1.1.0,Yes,0,Equipment,12455,yellow,ShoesLowcutEggground0,,8662,675,usLoxmkjFnPhxs9nr,02A3
egg party dress,,,3,earth egg,3.0,stone egg,3.0,leaf egg,3.0,wood egg,3.0,sky egg,3.0,water egg,NFS,,,,Learning all egg outfit DIYs,,Bunny Day (days before); Bunny Day,Yes,1.1.0,Yes,0,Equipment,12448,yellow,TopsTexOnepieceBalloonLEgg0,,8679,692,zNdwTbYA7G3MRrqkE,02B4
egg party hat,,,2,earth egg,2.0,stone egg,2.0,leaf egg,2.0,wood egg,2.0,sky egg,2.0,water egg,NFS,,,,Learning all egg outfit DIYs,,Bunny Day (days before); Bunny Day,Yes,1.1.0,Yes,0,Equipment,12446,yellow,CapHatEggparty0,,8678,691,SCBtDqCaR7QLCprjw,02B3
falling-snow wall,,,3,snowflake,10.0,stone,,,,,,,,,NFS,200.0,,,Balloons,,snowflakes,Yes,1.6.0,Yes,0,Wallpaper,13603,blue,RoomSpWallSnowy00,,7053,752,3Qhzt3AsgTfjoQ98s,02F0
fancy lily wreath,,,3,orange lilies,3.0,pink lilies,3.0,yellow lilies,,,,,,,NFS,200.0,,,All villagers,,,,1.0.0,Yes,100,Wall-mounted,5677,green,FtrDoorOrnamentWreathYuriMix,,7864,455,yj4Z2oGDi6Thvm89d,01C7
fancy mum wreath,,,3,pink mums,3.0,purple mums,3.0,red mums,,,,,,,NFS,200.0,,,All villagers,,,,1.0.0,Yes,100,Wall-mounted,5749,green,FtrDoorOrnamentWreathMumMix,,7844,443,qW3wgimoN7XhG5BvD,01BB
fancy rose wreath,,,3,orange roses,3.0,pink roses,3.0,yellow roses,,,,,,,NFS,200.0,,,All villagers,,,,1.0.0,Yes,100,Wall-mounted,5747,green,FtrDoorOrnamentWreathRoseMix,,7853,448,vr9dDrXLQuDSwfDdy,01C0
festival-lantern set,,,4,festival lantern,,,,,,,,,,,NFS,200.0,,,Peppy villagers,,,,2.0.0,Yes,100,Ceiling Decor,13220,yellow,FtrAsianLanternMCeiling,,2165,1057,kHBETWuiwzpgeDkrH,0421
festive rug,,,5,red ornament,5.0,blue ornament,5.0,gold ornament,,,,,,,NFS,200.0,,,All villagers; Balloons,,ornaments,Yes,1.6.0,Yes,0,Rugs,7544,white,RugSquareChristmasL00,,7470,746,MQuYCrEgrAwCpcByz,02EA
festive top set,,,2,gold ornament,1.0,hardwood,,,,,,,,,NFS,200.0,,,All villagers; Balloons,,ornaments,Yes,1.0.0,Yes,0,Miscellaneous,12230,white,FtrFestivaltop,,7400,650,tyq7gwEQhneN7ret4,028A
festive tree,,,3,red ornament,3.0,blue ornament,2.0,gold ornament,5.0,wood,,,,,NFS,200.0,,,All villagers; Balloons,,ornaments,Yes,1.0.0,Yes,0,Housewares,3991,white,FtrTreeXmasS,,7403,274,vtwGE69N2Z3GppKwx,0112
festive wrapping paper,,,1,red ornament,1.0,blue ornament,1.0,gold ornament,,,,,,,NFS,200.0,,,Jingle,,Toy Day,Yes,1.6.0,Yes,0,Other,13792,white,WPaperOrnament,,7490,751,NLbsc7TY99g5MZR6t,02EF
firewood,,,8,wood,,,,,,,,,,,NFS,200.0,,,Jock villagers,,,,1.0.0,Yes,0,Miscellaneous,5970,brown,FtrFirewood,,467,402,yDibbjkFgmEuJtdS6,0192
