Name,Image,Variation,Body Title,Pattern,Pattern Title,DIY,Body Customize,Pattern Customize,Pattern Customize Options,Stack Size,Kit Cost,Kit Type,Cyrus Customize Price,Buy,Sell,Color 1,Color 2,Size,Surface,Exchange Price,Exchange Currency,Source,Source Notes,Season/Event,Season/Event Exclusive,HHA Base Points,HHA Concept 1,HHA Concept 2,HHA Series,HHA Set,HHA Category,Interact,Tag,Outdoor,Speaker Type,Lighting Type,Food Power,Catalog,Version Added,Unlocked?,Filename,Variant ID,Internal ID,Unique Entry ID,Internal ID as hex,Variant Pattern Encoded
cube light,,,,Red,Color,No,No,Yes,Default; Custom; Sable,1,1.0,Normal,1000.0,830,207,White,Red,1x1,Yes,750.0,Poki,Nook's Cranny; HHP Office,,,,103,living room,stylish,,,Lighting,Chair,Lamp,No,Does not play music,Fluorescent,,For sale,2.0.0,Yes,FtrLampCube_Remake_0_3,0_3,13656,CuhFMLNFwuT2Ri4wr,3558,"(0, 96)"
cube light,,,,Pink,Color,No,No,Yes,Default; Custom; Sable,1,1.0,Normal,1000.0,830,207,White,Pink,1x1,Yes,750.0,Poki,Nook's Cranny; HHP Office,,,,103,living room,stylish,,,Lighting,Chair,Lamp,No,Does not play music,Fluorescent,,For sale,2.0.0,Yes,FtrLampCube_Remake_0_4,0_4,13656,5QBfsALCSErf3t4ih,3558,"(0, 128)"
cube light,,,,Purple,Color,No,No,Yes,Default; Custom; Sable,1,1.0,Normal,1000.0,830,207,White,Purple,1x1,Yes,750.0,Poki,Nook's Cranny; HHP Office,,,,103,living room,stylish,,,Lighting,Chair,Lamp,No,Does not play music,Fluorescent,,For sale,2.0.0,Yes,FtrLampCube_Remake_0_5,0_5,13656,2r5Z9RvF2T4hmZSnj,3558,"(0, 160)"
cube light,,,,Blue,Color,No,No,Yes,Default; Custom; Sable,1,1.0,Normal,1000.0,830,207,White,Blue,1x1,Yes,750.0,Poki,Nook's Cranny; HHP Office,,,,103,living room,stylish,,,Lighting,Chair,Lamp,No,Does not play music,Fluorescent,,For sale,2.0.0,Yes,FtrLampCube_Remake_0_6,0_6,13656,6GFi2kyR28FeiBeky,3558,"(0, 192)"
cube light,,,,Green,Color,No,No,Yes,Default; Custom; Sable,1,1.0,Normal,1000.0,830,207,White,Green,1x1,Yes,750.0,Poki,Nook's Cranny; HHP Office,,,,103,living room,stylish,,,Lighting,Chair,Lamp,No,Does not play music,Fluorescent,,For sale,2.0.0,Yes,FtrLampCube_Remake_0_7,0_7,13656,PWs4yrrZCSd3PvfNh,3558,"(0, 224)"
cucumber horse,,,,,,No,No,No,,1,,,,500,125,Green,Beige,1x1,No,,,Nook Shopping Seasonal,,Obon,Yes,201,living room,harmonious,,,SmallGoods,No,Japanese Style,No,Does not play music,No lighting,,Seasonal,1.11.0,Yes,FtrCucumberHorse,,14300,qhKjG3768m5Cv7Yiw,37DC,
cup with saucer,,,,,,No,No,No,,1,,,,1200,300,White,White,1x1,No,1100.0,Poki,Brewster,Sit down for coffee on 15 different days,,,153,café,restaurant,,,,No,Dining,No,Does not play music,No lighting,,For sale,2.0.0,Yes,FtrCafeCupsaucer,,14569,SCf8RXt8CtjbuzaQc,38E9,
curry with rice,,,,,,No,No,No,,1,,,,1200,300,Brown,White,1x1,No,1100.0,Poki,Nook's Cranny; HHP Café,,,,103,European,restaurant,,,Food,No,DishFood,No,Does not play music,No lighting,5.0,For sale,2.0.0,Yes,FtrRiceplateCurry,,12829,i89KJShgYwbhF7Lzm,321D,
cushion,,,,White,Cover,No,No,Yes,Default; Custom; Sable,1,1.0,Normal,1000.0,300,75,White,White,1x1,No,270.0,Poki,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,,,103,living room,child's room,,,,Chair,Chair,No,Does not play music,No lighting,,For sale,1.0.0,Yes,FtrCushion_Remake_0_0,0_0,1792,63KXYQSXZ5ZQSmr6L,0700,"(0, 0)"
cushion,,,,Floral,Cover,No,No,Yes,Default; Custom; Sable,1,1.0,Normal,1000.0,300,75,White,Colorful,1x1,No,270.0,Poki,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,,,103,living room,child's room,,,,Chair,Chair,No,Does not play music,No lighting,,For sale,1.0.0,Yes,FtrCushion_Remake_0_1,0_1,1792,p7bnytFpjPwst6ddh,0700,"(0, 32)"
cushion,,,,Alphabet,Cover,No,No,Yes,Default; Custom; Sable,1,1.0,Normal,1000.0,300,75,White,Green,1x1,No,270.0,Poki,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,,,103,living room,child's room,,,,Chair,Chair,No,Does not play music,No lighting,,For sale,1.0.0,Yes,FtrCushion_Remake_0_2,0_2,1792,kxqjhdLaQiCw3yQLX,0700,"(0, 64)"
cushion,,,,Paisley,Cover,No,No,Yes,Default; Custom; Sable,1,1.0,Normal,1000.0,300,75,Red,Red,1x1,No,270.0,Poki,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,,,103,living room,child's room,,,,Chair,Chair,No,Does not play music,No lighting,,For sale,1.0.0,Yes,FtrCushion_Remake_0_3,0_3,1792,dwqQa4p2hSS5KzNSy,0700,"(0, 96)"
cushion,,,,Rainbow colors,Cover,No,No,Yes,Default; Custom; Sable,1,1.0,Normal,1000.0,300,75,Colorful,Colorful,1x1,No,270.0,Poki,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,,,103,living room,child's room,,,,Chair,Chair,No,Does not play music,No lighting,,For sale,1.0.0,Yes,FtrCushion_Remake_0_4,0_4,1792,aLBjcF9Akg9YKKKTj,0700,"(0, 128)"
cushion,,,,Pop,Cover,No,No,Yes,Default; Custom; Sable,1,1.0,Normal,1000.0,300,75,Aqua,Colorful,1x1,No,270.0,Poki,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,,,103,living room,child's room,,,,Chair,Chair,No,Does not play music,No lighting,,For sale,1.0.0,Yes,FtrCushion_Remake_0_5,0_5,1792,GRiKGWmJs8qzNBBLo,0700,"(0, 160)"
cute music player,,White,Color,,,No,No,No,,1,,,1000.0,2600,650,White,Pink,1x1,No,2300.0,Poki,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,,,103,fancy,,cute,,Audio,Music Player,Audio,No,Cheap,No lighting,,For sale,1.0.0,Yes,FtrCuteAudio_Remake_0_0,0_0,4003,PNhNTvFquksuYDgnm,0FA3,"(0, 0)"
cute music player,,Sky blue,Color,,,No,No,No,,1,,,1000.0,2600,650,Aqua,Blue,1x1,No,2300.0,Poki,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,,,103,fancy,,cute,,Audio,Music Player,Audio,No,Cheap,No lighting,,For sale,1.0.0,Yes,FtrCuteAudio_Remake_1_0,1_0,4003,zrxqARZ7fhHfZfB6L,0FA3,"(1, 0)"
cute music player,,Yellow,Color,,,No,No,No,,1,,,1000.0,2600,650,Yellow,Orange,1x1,No,2300.0,Poki,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,,,103,fancy,,cute,,Audio,Music Player,Audio,No,Cheap,No lighting,,For sale,1.0.0,Yes,FtrCuteAudio_Remake_2_0,2_0,4003,Ykd5NnYDMJPjfm5Aa,0FA3,"(2, 0)"
cute music player,,Red,Color,,,No,No,No,,1,,,1000.0,2600,650,Red,White,1x1,No,2300.0,Poki,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,,,103,fancy,,cute,,Audio,Music Player,Audio,No,Cheap,No lighting,,For sale,1.0.0,Yes,FtrCuteAudio_Remake_3_0,3_0,4003,CfGa7k8A97XF6v3yv,0FA3,"(3, 0)"
cute music player,,Blue,Color,,,No,No,No,,1,,,1000.0,2600,650,Blue,Black,1x1,No,2300.0,Poki,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,,,103,fancy,,cute,,Audio,Music Player,Audio,No,Cheap,No lighting,,For sale,1.0.0,Yes,FtrCuteAudio_Remake_4_0,4_0,4003,eKw87wowK5fN3JXYD,0FA3,"(4, 0)"
cutlery,,Silver,Color,Green,Napkin,No,No,Yes,Default; Custom; Sable,1,2.0,Normal,1700.0,NFS,1000,Gray,Green,1x1,No,40.0,Hotel Tickets,Hotel Souvenir Shop,,,,201,party,restaurant,,,SmallGoods,No,Dining,No,Does not play music,No lighting,,Not for sale,3.0.0,Yes,FtrCutlery_Remake_0_0,0_0,856,pudymgtZscEQwbyfq,0358,"(0, 0)"
cutlery,,Silver,Color,Yellow,Napkin,No,No,Yes,Default; Custom; Sable,1,2.0,Normal,1700.0,NFS,1000,Gray,Yellow,1x1,No,40.0,Hotel Tickets,Hotel Souvenir Shop,,,,201,party,restaurant,,,SmallGoods,No,Dining,No,Does not play music,No lighting,,Not for sale,3.0.0,Yes,FtrCutlery_Remake_0_1,0_1,856,s4xAwQ4qsv7AvsdHT,0358,"(0, 32)"
cutlery,,Silver,Color,Pink,Napkin,No,No,Yes,Default; Custom; Sable,1,2.0,Normal,1700.0,NFS,1000,Gray,Pink,1x1,No,40.0,Hotel Tickets,Hotel Souvenir Shop,,,,201,party,restaurant,,,SmallGoods,No,Dining,No,Does not play music,No lighting,,Not for sale,3.0.0,Yes,FtrCutlery_Remake_0_2,0_2,856,jkXdtnSsedzhveRXX,0358,"(0, 64)"
cutlery,,Silver,Color,Beige,Napkin,No,No,Yes,Default; Custom; Sable,1,2.0,Normal,1700.0,NFS,1000,Gray,Beige,1x1,No,40.0,Hotel Tickets,Hotel Souvenir Shop,,,,201,party,restaurant,,,SmallGoods,No,Dining,No,Does not play music,No lighting,,Not for sale,3.0.0,Yes,FtrCutlery_Remake_0_3,0_3,856,g8dCwSuLPxgZqNZuQ,0358,"(0, 96)"
cutlery,,Silver,Color,Blue,Napkin,No,No,Yes,Default; Custom; Sable,1,2.0,Normal,1700.0,NFS,1000,Gray,Blue,1x1,No,40.0,Hotel Tickets,Hotel Souvenir Shop,,,,201,party,restaurant,,,SmallGoods,No,Dining,No,Does not play music,No lighting,,Not for sale,3.0.0,Yes,FtrCutlery_Remake_0_4,0_4,856,6MHDeGLaZaBNqriQ7,0358,"(0, 128)"
cutlery,,Gold,Color,Green,Napkin,No,No,Yes,Default; Custom; Sable,1,2.0,Normal,1700.0,NFS,1000,Yellow,Green,1x1,No,40.0,Hotel Tickets,Hotel Souvenir Shop,,,,201,party,restaurant,,,SmallGoods,No,Dining,No,Does not play music,No lighting,,Not for sale,3.0.0,Yes,FtrCutlery_Remake_1_0,1_0,856,GicgL2XfqNtGjhdHa,0358,"(1, 0)"
cutlery,,Gold,Color,Yellow,Napkin,No,No,Yes,Default; Custom; Sable,1,2.0,Normal,1700.0,NFS,1000,Yellow,Yellow,1x1,No,40.0,Hotel Tickets,Hotel Souvenir Shop,,,,201,party,restaurant,,,SmallGoods,No,Dining,No,Does not play music,No lighting,,Not for sale,3.0.0,Yes,FtrCutlery_Remake_1_1,1_1,856,wXDSR34rjw6fuHR7x,0358,"(1, 32)"
cutlery,,Gold,Color,Pink,Napkin,No,No,Yes,Default; Custom; Sable,1,2.0,Normal,1700.0,NFS,1000,Yellow,Pink,1x1,No,40.0,Hotel Tickets,Hotel Souvenir Shop,,,,201,party,restaurant,,,SmallGoods,No,Dining,No,Does not play music,No lighting,,Not for sale,3.0.0,Yes,FtrCutlery_Remake_1_2,1_2,856,ny3roFWKKgTPdbGFk,0358,"(1, 64)"
cutlery,,Gold,Color,Beige,Napkin,No,No,Yes,Default; Custom; Sable,1,2.0,Normal,1700.0,NFS,1000,Yellow,Beige,1x1,No,40.0,Hotel Tickets,Hotel Souvenir Shop,,,,201,party,restaurant,,,SmallGoods,No,Dining,No,Does not play music,No lighting,,Not for sale,3.0.0,Yes,FtrCutlery_Remake_1_3,1_3,856,wogSQLEW9uDeo6JMr,0358,"(1, 96)"
cutlery,,Gold,Color,Blue,Napkin,No,No,Yes,Default; Custom; Sable,1,2.0,Normal,1700.0,NFS,1000,Yellow,Blue,1x1,No,40.0,Hotel Tickets,Hotel Souvenir Shop,,,,201,party,restaurant,,,SmallGoods,No,Dining,No,Does not play music,No lighting,,Not for sale,3.0.0,Yes,FtrCutlery_Remake_1_4,1_4,856,ewm9ndR7ZRrWYptf6,0358,"(1, 128)"
cutlery,,White,Color,Green,Napkin,No,No,Yes,Default; Custom; Sable,1,2.0,Normal,1700.0,NFS,1000,White,Green,1x1,No,40.0,Hotel Tickets,Hotel Souvenir Shop,,,,201,party,restaurant,,,SmallGoods,No,Dining,No,Does not play music,No lighting,,Not for sale,3.0.0,Yes,FtrCutlery_Remake_2_0,2_0,856,TY8NukjH46bweEhtt,0358,"(2, 0)"
cutlery,,White,Color,Yellow,Napkin,No,No,Yes,Default; Custom; Sable,1,2.0,Normal,1700.0,NFS,1000,White,Yellow,1x1,No,40.0,Hotel Tickets,Hotel Souvenir Shop,,,,201,party,restaurant,,,SmallGoods,No,Dining,No,Does not play music,No lighting,,Not for sale,3.0.0,Yes,FtrCutlery_Remake_2_1,2_1,856,deAzAcKnqRBAPWcou,0358,"(2, 32)"
cutlery,,White,Color,Pink,Napkin,No,No,Yes,Default; Custom; Sable,1,2.0,Normal,1700.0,NFS,1000,White,Pink,1x1,No,40.0,Hotel Tickets,Hotel Souvenir Shop,,,,201,party,restaurant,,,SmallGoods,No,Dining,No,Does not play music,No lighting,,Not for sale,3.0.0,Yes,FtrCutlery_Remake_2_2,2_2,856,2GL7qqTAfxvgE2fxe,0358,"(2, 64)"
cutlery,,White,Color,Beige,Napkin,No,No,Yes,Default; Custom; Sable,1,2.0,Normal,1700.0,NFS,1000,White,Beige,1x1,No,40.0,Hotel Tickets,Hotel Souvenir Shop,,,,201,party,restaurant,,,SmallGoods,No,Dining,No,Does not play music,No lighting,,Not for sale,3.0.0,Yes,FtrCutlery_Remake_2_3,2_3,856,psT5FjxqQno7tuSe4,0358,"(2, 96)"
cutlery,,White,Color,Blue,Napkin,No,No,Yes,Default; Custom; Sable,1,2.0,Normal,1700.0,NFS,1000,White,Blue,1x1,No,40.0,Hotel Tickets,Hotel Souvenir Shop,,,,201,party,restaurant,,,SmallGoods,No,Dining,No,Does not play music,No lighting,,Not for sale,3.0.0,Yes,FtrCutlery_Remake_2_4,2_4,856,TdsANGHXAdqr2tALD,0358,"(2, 128)"
cutting board,,No finish,Color,Red,Towel,Yes,Yes,Yes,Default; Custom; Sable,1,3.0,Normal,2400.0,NFS,990,Beige,Red,1x1,No,,,Crafting,,,,103,kitchen,restaurant,,,,No,Kitchen Things,No,Does not play music,No lighting,,Not for sale,1.0.0,Yes,FtrCuttingboard_Remake_0_0,0_0,3618,R9nmx9Q2c2LSaqjjq,0E22,"(0, 0)"
cutting board,,No finish,Color,Blue,Towel,Yes,Yes,Yes,Default; Custom; Sable,1,3.0,Normal,2400.0,NFS,990,Beige,Blue,1x1,No,,,Crafting,,,,103,kitchen,restaurant,,,,No,Kitchen Things,No,Does not play music,No lighting,,Not for sale,1.0.0,Yes,FtrCuttingboard_Remake_0_1,0_1,3618,tbCjqii8PuQXpPy6K,0E22,"(0, 32)"
cutting board,,No finish,Color,Yellow,Towel,Yes,Yes,Yes,Default; Custom; Sable,1,3.0,Normal,2400.0,NFS,990,Beige,Yellow,1x1,No,,,Crafting,,,,103,kitchen,restaurant,,,,No,Kitchen Things,No,Does not play music,No lighting,,Not for sale,1.0.0,Yes,FtrCuttingboard_Remake_0_2,0_2,3618,fY2ehetfFSryf2744,0E22,"(0, 64)"
cutting board,,Cherry brown,Color,Red,Towel,Yes,Yes,Yes,Default; Custom; Sable,1,3.0,Normal,2400.0,NFS,990,Orange,Red,1x1,No,,,Crafting,,,,103,kitchen,restaurant,,,,No,Kitchen Things,No,Does not play music,No lighting,,Not for sale,1.0.0,Yes,FtrCuttingboard_Remake_1_0,1_0,3618,b2ywJ6Cm9xdkWmcfE,0E22,"(1, 0)"
cutting board,,Cherry brown,Color,Blue,Towel,Yes,Yes,Yes,Default; Custom; Sable,1,3.0,Normal,2400.0,NFS,990,Orange,Blue,1x1,No,,,Crafting,,,,103,kitchen,restaurant,,,,No,Kitchen Things,No,Does not play music,No lighting,,Not for sale,1.0.0,Yes,FtrCuttingboard_Remake_1_1,1_1,3618,G5iiNx5X6WCbkmmy8,0E22,"(1, 32)"
cutting board,,Cherry brown,Color,Yellow,Towel,Yes,Yes,Yes,Default; Custom; Sable,1,3.0,Normal,2400.0,NFS,990,Orange,Yellow,1x1,No,,,Crafting,,,,103,kitchen,restaurant,,,,No,Kitchen Things,No,Does not play music,No lighting,,Not for sale,1.0.0,Yes,FtrCuttingboard_Remake_1_2,1_2,3618,pcE4HEdGZ66Hb2zbH,0E22,"(1, 64)"
cutting board,,Dark,Color,Red,Towel,Yes,Yes,Yes,Default; Custom; Sable,1,3.0,Normal,2400.0,NFS,990,Brown,Red,1x1,No,,,Crafting,,,,103,kitchen,restaurant,,,,No,Kitchen Things,No,Does not play music,No lighting,,Not for sale,1.0.0,Yes,FtrCuttingboard_Remake_2_0,2_0,3618,gjYBB5FPTDrHHbiPN,0E22,"(2, 0)"
cutting board,,Dark,Color,Blue,Towel,Yes,Yes,Yes,Default; Custom; Sable,1,3.0,Normal,2400.0,NFS,990,Brown,Blue,1x1,No,,,Crafting,,,,103,kitchen,restaurant,,,,No,Kitchen Things,No,Does not play music,No lighting,,Not for sale,1.0.0,Yes,FtrCuttingboard_Remake_2_1,2_1,3618,gYmueZw6yxCWGmnqq,0E22,"(2, 32)"
cutting board,,Dark,Color,Yellow,Towel,Yes,Yes,Yes,Default; Custom; Sable,1,3.0,Normal,2400.0,NFS,990,Brown,Yellow,1x1,No,,,Crafting,,,,103,kitchen,restaurant,,,,No,Kitchen Things,No,Does not play music,No lighting,,Not for sale,1.0.0,Yes,FtrCuttingboard_Remake_2_2,2_2,3618,QoaPxaYp9jQZjdHhz,0E22,"(2, 64)"
cutting board,,Natural,Color,Red,Towel,Yes,Yes,Yes,Default; Custom; Sable,1,3.0,Normal,2400.0,NFS,990,Yellow,Red,1x1,No,,,Crafting,,,,103,kitchen,restaurant,,,,No,Kitchen Things,No,Does not play music,No lighting,,Not for sale,1.0.0,Yes,FtrCuttingboard_Remake_3_0,3_0,3618,KTntMquCDi9SJNyxY,0E22,"(3, 0)"
cutting board,,Natural,Color,Blue,Towel,Yes,Yes,Yes,Default; Custom; Sable,1,3.0,Normal,2400.0,NFS,990,Yellow,Blue,1x1,No,,,Crafting,,,,103,kitchen,restaurant,,,,No,Kitchen Things,No,Does not play music,No lighting,,Not for sale,1.0.0,Yes,FtrCuttingboard_Remake_3_1,3_1,3618,nDvmAa4vhDu7o5YCD,0E22,"(3, 32)"
cutting board,,Natural,Color,Yellow,Towel,Yes,Yes,Yes,Default; Custom; Sable,1,3.0,Normal,2400.0,NFS,990,Yellow,Yellow,1x1,No,,,Crafting,,,,103,kitchen,restaurant,,,,No,Kitchen Things,No,Does not play music,No lighting,,Not for sale,1.0.0,Yes,FtrCuttingboard_Remake_3_2,3_2,3618,aoy4aAhZgxfFPeSoP,0E22,"(3, 64)"
cyclommatus stag model,,,,,,No,No,No,,1,,,,NFS,24000,Black,Black,1x1,No,,,Flick,Trade 3 insects to receive a model in the mail the next day,,,251,,,,,,No,Insect,No,Does not play music,No lighting,,Not for sale,1.0.0,Yes,FtrInsectHosoakakuwagataToy,,7064,8YEAwnrxdwK8ZKPX3,1B98,
dab model,,,,,,No,No,No,,1,,,,NFS,900,Brown,Black,1x1,No,,,C.J.,Trade 3 fish to receive a model in the mail the next day,,,251,,,,,,No,Fish,No,Does not play music,No lighting,,Not for sale,1.0.0,Yes,FtrFishKareiToy,,6965,dMsi3N6Rzefc4phxc,1B35,
dace model,,,,,,No,No,No,,1,,,,NFS,720,Brown,Black,1x1,No,,,C.J.,Trade 3 fish to receive a model in the mail the next day,,,251,,,,,,No,Fish,No,Does not play music,No lighting,,Not for sale,1.0.0,Yes,FtrFishUguiToy,,7024,chTNqu8gsjJM3xTmQ,1B70,
DAL model plane,,Blue,Color,,,No,Yes,No,,1,2.0,Normal,1700.0,NFS,1010,Blue,White,1x1,No,,,Dodo Airlines,Received in mail from DAL after 300 flights,,,251,child's room,living room,,,SmallGoods,No,Toy,No,Does not play music,No lighting,,Not for sale,1.0.0,Yes,FtrDalFigure_Remake_0_0,0_0,12140,Z9LTsX7gHTvCqPhoQ,2F6C,"(0, 0)"
DAL model plane,,Yellow,Color,,,No,Yes,No,,1,2.0,Normal,1700.0,NFS,1010,Yellow,White,1x1,No,,,Dodo Airlines,Received in mail from DAL after 300 flights,,,251,child's room,living room,,,SmallGoods,No,Toy,No,Does not play music,No lighting,,Not for sale,1.0.0,Yes,FtrDalFigure_Remake_1_0,1_0,12140,5Demv5QmbkEFjbHkk,2F6C,"(1, 0)"
DAL model plane,,Orange,Color,,,No,Yes,No,,1,2.0,Normal,1700.0,NFS,1010,Orange,White,1x1,No,,,Dodo Airlines,Received in mail from DAL after 300 flights,,,251,child's room,living room,,,SmallGoods,No,Toy,No,Does not play music,No lighting,,Not for sale,1.0.0,Yes,FtrDalFigure_Remake_2_0,2_0,12140,AEAJKrg7PFWvDxqDp,2F6C,"(2, 0)"
DAL model plane,,Green,Color,,,No,Yes,No,,1,2.0,Normal,1700.0,NFS,1010,Green,White,1x1,No,,,Dodo Airlines,Received in mail from DAL after 300 flights,,,251,child's room,living room,,,SmallGoods,No,Toy,No,Does not play music,No lighting,,Not for sale,1.0.0,Yes,FtrDalFigure_Remake_3_0,3_0,12140,5i29wGeAvzCkL2oRz,2F6C,"(3, 0)"
DAL mug,,,,,,No,No,No,,1,,,,NFS,1010,Blue,White,1x1,No,,,Dodo Airlines,Received in mail from DAL after 50 flights,,,251,kitchen,living room,,,,No,Dining,No,Does not play music,No lighting,,Not for sale,1.0.0,Yes,FtrDalMug,,12139,JCcD4abWBcHkDPYzz,2F6B,
Dala horse,,Red,Color,,,No,Yes,No,,1,2.0,Normal,1700.0,NFS,1300,Red,Colorful,1x1,No,,,Gulliver,,,,451,heritage,,,,Doll,No,Folk Craft Decor,No,Does not play music,No lighting,,Not for sale,1.0.0,Yes,FtrDalecarlianhorse_Remake_0_0,0_0,685,wPFtrpurdZvWxbKHT,02AD,"(0, 0)"
Dala horse,,Blue,Color,,,No,Yes,No,,1,2.0,Normal,1700.0,NFS,1300,Blue,Colorful,1x1,No,,,Gulliver,,,,451,heritage,,,,Doll,No,Folk Craft Decor,No,Does not play music,No lighting,,Not for sale,1.0.0,Yes,FtrDalecarlianhorse_Remake_1_0,1_0,685,WaA7mhYfcqaMmP93f,02AD,"(1, 0)"
Dala horse,,White,Color,,,No,Yes,No,,1,2.0,Normal,1700.0,NFS,1300,White,Colorful,1x1,No,,,Gulliver,,,,451,heritage,,,,Doll,No,Folk Craft Decor,No,Does not play music,No lighting,,Not for sale,1.0.0,Yes,FtrDalecarlianhorse_Remake_2_0,2_0,685,8n4WfgheP2xmdWYzK,02AD,"(2, 0)"
damselfly model,,,,,,No,No,No,,1,,,,NFS,1500,Black,Blue,1x1,No,,,Flick,Trade 3 insects to receive a model in the mail the next day,,,251,,,,,,No,Insect,No,Does not play music,No lighting,,Not for sale,1.0.0,Yes,FtrInsectItotonboToy,,7121,X24yGSkL2Bu8euJ76,1BD1,
dango,,,,,,No,No,No,,1,,,,1100,275,White,Beige,1x1,No,,,Nook Shopping Seasonal,,Moon-Viewing Day,Yes,201,living room,harmonious,,,,No,DishFood,Yes,Does not play music,No lighting,,Seasonal,1.11.0,Yes,FtrMoondumpling,,14338,6xLpXKevHtDFsNkDA,3802,
darner dragonfly model,,,,,,No,No,No,,1,,,,NFS,690,Green,Green,1x1,No,,,Flick,Trade 3 insects to receive a model in the mail the next day,,,251,,,,,,No,Insect,No,Does not play music,No lighting,,Not for sale,1.0.0,Yes,FtrInsectGinyanmaToy,,7058,f6fhww5RS83bXz3Fb,1B92,
decorative bottles,,Green,Color,,Label,No,No,Yes,Default; Custom,1,1.0,Normal,1000.0,1100,275,Green,Green,1x1,No,990.0,Poki,Nook's Cranny; HHP Office,,,,103,shop,restaurant,,,SmallGoods,No,Dining,No,Does not play music,No lighting,,For sale,2.0.0,Yes,FtrGlassbottle_Remake_0_0,0_0,13299,zcZNhTiXCEoe3RZ7X,33F3,"(0, 0)"
decorative bottles,,Green,Color,Apple labels,Label,No,No,Yes,Default; Custom,1,1.0,Normal,1000.0,1100,275,Green,Red,1x1,No,990.0,Poki,Nook's Cranny; HHP Office,,,,103,shop,restaurant,,,SmallGoods,No,Dining,No,Does not play music,No lighting,,For sale,2.0.0,Yes,FtrGlassbottle_Remake_0_1,0_1,13299,5gtRbvYXeJ5Fa55sE,33F3,"(0, 32)"
decorative bottles,,Green,Color,Orange labels,Label,No,No,Yes,Default; Custom,1,1.0,Normal,1000.0,1100,275,Green,Orange,1x1,No,990.0,Poki,Nook's Cranny; HHP Office,,,,103,shop,restaurant,,,SmallGoods,No,Dining,No,Does not play music,No lighting,,For sale,2.0.0,Yes,FtrGlassbottle_Remake_0_2,0_2,13299,bwNLWAM8S2ShSk8u8,33F3,"(0, 64)"
decorative bottles,,Green,Color,White labels,Label,No,No,Yes,Default; Custom,1,1.0,Normal,1000.0,1100,275,Green,White,1x1,No,990.0,Poki,Nook's Cranny; HHP Office,,,,103,shop,restaurant,,,SmallGoods,No,Dining,No,Does not play music,No lighting,,For sale,2.0.0,Yes,FtrGlassbottle_Remake_0_3,0_3,13299,7tN44BLjqE9KQKFHm,33F3,"(0, 96)"
decorative bottles,,Green,Color,Green labels,Label,No,No,Yes,Default; Custom,1,1.0,Normal,1000.0,1100,275,Green,Blue,1x1,No,990.0,Poki,Nook's Cranny; HHP Office,,,,103,shop,restaurant,,,SmallGoods,No,Dining,No,Does not play music,No lighting,,For sale,2.0.0,Yes,FtrGlassbottle_Remake_0_4,0_4,13299,mAceur44gGiXPAzCY,33F3,"(0, 128)"
decorative bottles,,Green,Color,Black labels,Label,No,No,Yes,Default; Custom,1,1.0,Normal,1000.0,1100,275,Green,Black,1x1,No,990.0,Poki,Nook's Cranny; HHP Office,,,,103,shop,restaurant,,,SmallGoods,No,Dining,No,Does not play music,No lighting,,For sale,2.0.0,Yes,FtrGlassbottle_Remake_0_5,0_5,13299,qPERFsa8KNvGxWgf2,33F3,"(0, 160)"
decorative bottles,,Light blue,Color,,Label,No,No,Yes,Default; Custom,1,1.0,Normal,1000.0,1100,275,Aqua,Aqua,1x1,No,990.0,Poki,Nook's Cranny; HHP Office,,,,103,shop,restaurant,,,SmallGoods,No,Dining,No,Does not play music,No lighting,,For sale,2.0.0,Yes,FtrGlassbottle_Remake_1_0,1_0,13299,q9WnZrXmwbACfStDW,33F3,"(1, 0)"
decorative bottles,,Light blue,Color,Apple labels,Label,No,No,Yes,Default; Custom,1,1.0,Normal,1000.0,1100,275,Aqua,Red,1x1,No,990.0,Poki,Nook's Cranny; HHP Office,,,,103,shop,restaurant,,,SmallGoods,No,Dining,No,Does not play music,No lighting,,For sale,2.0.0,Yes,FtrGlassbottle_Remake_1_1,1_1,13299,aqhRmvkBxpPhwcmAr,33F3,"(1, 32)"
decorative bottles,,Light blue,Color,Orange labels,Label,No,No,Yes,Default; Custom,1,1.0,Normal,1000.0,1100,275,Aqua,Orange,1x1,No,990.0,Poki,Nook's Cranny; HHP Office,,,,103,shop,restaurant,,,SmallGoods,No,Dining,No,Does not play music,No lighting,,For sale,2.0.0,Yes,FtrGlassbottle_Remake_1_2,1_2,13299,spo336B53nL9L9sEv,33F3,"(1, 64)"
