Name,Closet Image,Storage Image,Variation,DIY,Buy,Sell,HHA Base Points,Color 1,Color 2,Size,Exchange Price,Exchange Currency,Source,Source Notes,Season/Event,Season/Event Exclusive,Seasonal Availability,Seasonality,Mannequin Season,Gender,Villager Gender,Style 1,Style 2,Label Themes,Sort Order,Villager Equippable,Catalog,Version Added,Unlocked?,Filename,ClothGroup ID,Internal ID,Unique Entry ID,Internal ID as hex
DJ KK logo tee,,,Neon orange,No,NFS,300.0,51,Black,Orange,1x1,1100.0,Poki,HHP Apparel Shop,Available during DJ KK festival,Happy Home Paradise,Yes,All Year,All Year,,Free,Free,Cool,Active,party; theatrical,2,Yes,Not for sale,2.0.0,Yes,TopsTexTopTshirtsemmLDjkk1,1433,279,7eDLWw792rGR2wmQS,0117
DJ KK logo tee,,,Neon pink,No,NFS,300.0,51,Black,Pink,1x1,1100.0,Poki,HHP Apparel Shop,Available during DJ KK festival,Happy Home Paradise,Yes,All Year,All Year,,Free,Free,Cool,Active,party; theatrical,3,Yes,Not for sale,2.0.0,Yes,TopsTexTopTshirtsemmLDjkk2,1433,280,tshxK44eSc6Q6C6tn,0118
DJ KK logo tee,,,Neon green,No,NFS,300.0,51,Black,Green,1x1,1100.0,Poki,HHP Apparel Shop,Available during DJ KK festival,Happy Home Paradise,Yes,All Year,All Year,,Free,Free,Cool,Active,party; theatrical,4,Yes,Not for sale,2.0.0,Yes,TopsTexTopTshirtsemmLDjkk3,1433,281,6Qif7KXas3e5yd43K,0119
doctor's coat,,,Black necktie,No,2160,540.0,51,White,Black,1x1,1900.0,Poki,Able Sisters,Available from Able Sisters shop only,,,All Year,All Year,,Free,Free,Simple,Cool,work,1,Yes,For sale,1.0.0,Yes,TopsTexTopCoatLWhitecoat1,73,7794,LudiJsF9ut7zd2f7X,1E72
doctor's coat,,,Red necktie,No,2160,540.0,51,White,Red,1x1,1900.0,Poki,Able Sisters,Available from Able Sisters shop only,,,All Year,All Year,,Free,Free,Simple,Cool,work,2,Yes,For sale,1.0.0,Yes,TopsTexTopCoatLWhitecoat0,73,3174,HRqmqmYxu9Lqva6ga,0C66
dolly shirt,,,Pink,No,960,240.0,51,Pink,Pink,1x1,860.0,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,Summer (shopping),No,Summer,Spring,,Free,Free,Cute,Elegant,everyday; fairy tale,1,Yes,For sale,1.0.0,Yes,TopsTexTopPuffHDolly0,1079,9828,P44fsEoB5vHDC9vxu,2664
dolly shirt,,,Yellow,No,960,240.0,51,Yellow,Orange,1x1,860.0,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,Summer (shopping),No,Summer,Spring,,Free,Free,Cute,Elegant,everyday; fairy tale,2,Yes,For sale,1.0.0,Yes,TopsTexTopPuffHDolly2,1079,11953,su4iyqrqQ2LXC5nfW,2EB1
dolly shirt,,,Blue,No,960,240.0,51,Aqua,Blue,1x1,860.0,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,Summer (shopping),No,Summer,Spring,,Free,Free,Cute,Elegant,everyday; fairy tale,3,Yes,For sale,1.0.0,Yes,TopsTexTopPuffHDolly1,1079,11952,AcacBmTTXMoCpthvT,2EB0
dolly shirt,,,Purple,No,960,240.0,51,Purple,Pink,1x1,860.0,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,Summer (shopping),No,Summer,Spring,,Free,Free,Cute,Elegant,everyday; fairy tale,4,Yes,For sale,1.0.0,Yes,TopsTexTopPuffHDolly3,1079,11954,8wbvDqr4vrJSXyppS,2EB2
dotted raincoat,,,Gray,No,1600,400.0,51,Gray,Yellow,1x1,1400.0,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,,,All Year,All Year,,Free,Free,Cute,Simple,outdoorsy,1,Yes,For sale,1.0.0,Yes,TopsTexTopCoatLRaindot5,1063,11926,qPRwDY8PHvxaJuReF,2E96
dotted raincoat,,,Pink,No,1600,400.0,51,Pink,Orange,1x1,1400.0,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,,,All Year,All Year,,Free,Free,Cute,Simple,outdoorsy,2,Yes,For sale,1.0.0,Yes,TopsTexTopCoatLRaindot1,1063,11922,vL2d24fN4NHbkAMym,2E92
dotted raincoat,,,Green,No,1600,400.0,51,Green,Yellow,1x1,1400.0,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,,,All Year,All Year,,Free,Free,Cute,Simple,outdoorsy,3,Yes,For sale,1.0.0,Yes,TopsTexTopCoatLRaindot2,1063,11923,oTWYurenFd5465dd7,2E93
dotted raincoat,,,Light blue,No,1600,400.0,51,Aqua,Pink,1x1,1400.0,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,,,All Year,All Year,,Free,Free,Cute,Simple,outdoorsy,4,Yes,For sale,1.0.0,Yes,TopsTexTopCoatLRaindot0,1063,9775,B2y5zLsQkKmStGJAo,262F
dotted raincoat,,,Turquoise,No,1600,400.0,51,Aqua,Yellow,1x1,1400.0,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,,,All Year,All Year,,Free,Free,Cute,Simple,outdoorsy,5,Yes,For sale,1.0.0,Yes,TopsTexTopCoatLRaindot4,1063,11925,jLLh5vTebtEGB9Syr,2E95
dotted raincoat,,,Blue,No,1600,400.0,51,Blue,Green,1x1,1400.0,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,,,All Year,All Year,,Free,Free,Cute,Simple,outdoorsy,6,Yes,For sale,1.0.0,Yes,TopsTexTopCoatLRaindot3,1063,11924,KCX7QtFpAD5uX7g9y,2E94
doublet,,,Black,No,1520,380.0,51,Black,White,1x1,1400.0,Poki,Able Sisters,Available from Able Sisters shop only,,,All Year,All Year,,Free,Manly,Simple,Elegant,formal; theatrical; work,1,Yes,For sale,1.0.0,Yes,TopsTexTopYshirtsLDoublet0,916,6029,aXx3xZhshp2R24jw2,178D
doublet,,,Red,No,1520,380.0,51,Red,White,1x1,1400.0,Poki,Able Sisters,Available from Able Sisters shop only,,,All Year,All Year,,Free,Manly,Simple,Elegant,formal; theatrical; work,2,Yes,For sale,1.0.0,Yes,TopsTexTopYshirtsLDoublet3,916,8287,97pWWGfGAEefhejRP,205F
doublet,,,Green,No,1520,380.0,51,Green,White,1x1,1400.0,Poki,Able Sisters,Available from Able Sisters shop only,,,All Year,All Year,,Free,Manly,Simple,Elegant,formal; theatrical; work,3,Yes,For sale,1.0.0,Yes,TopsTexTopYshirtsLDoublet2,916,8286,f4fTgyZmKuZyazcJN,205E
doublet,,,Blue,No,1520,380.0,51,Blue,White,1x1,1400.0,Poki,Able Sisters,Available from Able Sisters shop only,,,All Year,All Year,,Free,Manly,Simple,Elegant,formal; theatrical; work,4,Yes,For sale,1.0.0,Yes,TopsTexTopYshirtsLDoublet1,916,8285,caY3QTAeAh6L3eoQZ,205D
down jacket,,,White,No,1120,280.0,51,White,White,1x1,1000.0,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,Winter (shopping),No,Winter,Winter,,Free,Free,Active,Active,everyday; outdoorsy,1,Yes,For sale,1.0.0,Yes,TopsTexTopOuterLDownjacket3,37,8310,bug5x399raaQJMBfc,2076
down jacket,,,Black,No,1120,280.0,51,Black,Black,1x1,1000.0,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,Winter (shopping),No,Winter,Winter,,Free,Free,Active,Active,everyday; outdoorsy,2,Yes,For sale,1.0.0,Yes,TopsTexTopOuterLDownjacket1,37,8308,LZEHcozJ4hvs2f77j,2074
down jacket,,,Red,No,1120,280.0,51,Red,Red,1x1,1000.0,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,Winter (shopping),No,Winter,Winter,,Free,Free,Active,Active,everyday; outdoorsy,3,Yes,For sale,1.0.0,Yes,TopsTexTopOuterLDownjacket2,37,8309,zFkodsTyjRR5KhAWc,2075
down jacket,,,Orange,No,1120,280.0,51,Orange,Orange,1x1,1000.0,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,Winter (shopping),No,Winter,Winter,,Free,Free,Active,Active,everyday; outdoorsy,4,Yes,For sale,1.0.0,Yes,TopsTexTopOuterLDownjacket6,37,8313,trHwCjrin99NECa5E,2079
down jacket,,,Yellow,No,1120,280.0,51,Yellow,Yellow,1x1,1000.0,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,Winter (shopping),No,Winter,Winter,,Free,Free,Active,Active,everyday; outdoorsy,5,Yes,For sale,1.0.0,Yes,TopsTexTopOuterLDownjacket5,37,8312,x8rLNy5SaYDfkoLBC,2078
down jacket,,,Lime,No,1120,280.0,51,Green,Green,1x1,1000.0,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,Winter (shopping),No,Winter,Winter,,Free,Free,Active,Active,everyday; outdoorsy,6,Yes,For sale,1.0.0,Yes,TopsTexTopOuterLDownjacket7,37,8314,Dbzx8w3zjmdf9oTad,207A
down jacket,,,Green,No,1120,280.0,51,Green,Green,1x1,1000.0,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,Winter (shopping),No,Winter,Winter,,Free,Free,Active,Active,everyday; outdoorsy,7,Yes,For sale,1.0.0,Yes,TopsTexTopOuterLDownjacket4,37,8311,FHNcfer97tNSwEP4k,2077
down jacket,,,Blue,No,1120,280.0,51,Blue,Blue,1x1,1000.0,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,Winter (shopping),No,Winter,Winter,,Free,Free,Active,Active,everyday; outdoorsy,8,Yes,For sale,1.0.0,Yes,TopsTexTopOuterLDownjacket0,37,2778,KrL2xGPw4hkDGAMpw,0ADA
down ski jacket,,,Red & yellow,No,1680,420.0,51,Red,Yellow,1x1,1500.0,Poki,Able Sisters,Available from Able Sisters shop only,Winter (shopping),No,Winter,Winter,,Free,Free,Active,Active,outdoorsy; sporty,1,Yes,For sale,1.0.0,Yes,TopsTexTopOuterLSkidown0,531,4735,E5BDtcZ3d2SorxBwt,127F
down ski jacket,,,Navy & red,No,1680,420.0,51,Blue,Red,1x1,1500.0,Poki,Able Sisters,Available from Able Sisters shop only,Winter (shopping),No,Winter,Winter,,Free,Free,Active,Active,outdoorsy; sporty,2,Yes,For sale,1.0.0,Yes,TopsTexTopOuterLSkidown3,531,8336,S93NjqjcSsinW7vGy,2090
down ski jacket,,,Blue & green,No,1680,420.0,51,Blue,Green,1x1,1500.0,Poki,Able Sisters,Available from Able Sisters shop only,Winter (shopping),No,Winter,Winter,Winter,Free,Free,Active,Active,outdoorsy; sporty,3,Yes,For sale,1.0.0,Yes,TopsTexTopOuterLSkidown1,531,8334,H5TjQxYanEBbPrp92,208E
down ski jacket,,,Navy & blue,No,1680,420.0,51,Blue,Aqua,1x1,1500.0,Poki,Able Sisters,Available from Able Sisters shop only,Winter (shopping),No,Winter,Winter,,Free,Free,Active,Active,outdoorsy; sporty,4,Yes,For sale,1.0.0,Yes,TopsTexTopOuterLSkidown2,531,8335,JP4jdFRdHfjAxvw5s,208F
dragon jacket,,,,No,2000,500.0,51,Black,Yellow,1x1,1800.0,Poki,Able Sisters,Available from Able Sisters shop only,Winter (shopping),No,Winter,Winter,Winter,Free,Free,Active,Gorgeous,outdoorsy,1,Yes,For sale,1.0.0,Yes,TopsTexTopOuterLSukajandragonBlack,100,3256,P87yK7fWJs6bj6TYg,0CB8
dreamy sweater,,,Pink,No,1440,360.0,51,Pink,Aqua,1x1,1300.0,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,Winter (shopping),No,Winter,Spring,,Free,Free,Cute,Cute,fairy tale; comfy,1,Yes,For sale,1.0.0,Yes,TopsTexTopOuterLYumekawa0,210,3635,enm7L67ic3tGrgnbX,0E33
dreamy sweater,,,Blue,No,1440,360.0,51,Blue,Purple,1x1,1300.0,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,Winter (shopping),No,Winter,Spring,,Free,Free,Cute,Cute,fairy tale; comfy,2,Yes,For sale,1.0.0,Yes,TopsTexTopOuterLYumekawa1,210,8001,7m4fHzDm6QzyCdReb,1F41
dress shirt,,,White,No,560,140.0,51,White,White,1x1,500.0,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,,,All Year,All Year,,Free,Free,Simple,Simple,everyday; formal; work,1,Yes,For sale,1.0.0,Yes,TopsTexTopYshirtsLStandard0,40,2823,dDtpewbT3ZAXinyPA,0B07
dress shirt,,,Gray,No,560,140.0,51,Gray,Gray,1x1,500.0,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,,,All Year,All Year,,Free,Free,Simple,Simple,everyday; formal; work,2,Yes,For sale,1.0.0,Yes,TopsTexTopYshirtsLStandard1,40,8337,kEa65RHQj8m2e45iW,2091
dress shirt,,,Pink,No,560,140.0,51,Pink,Pink,1x1,500.0,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,,,All Year,All Year,,Free,Free,Simple,Simple,everyday; formal; work,3,Yes,For sale,1.0.0,Yes,TopsTexTopYshirtsLStandard3,40,8339,RBXCCu5J2bqSBt3AT,2093
dress shirt,,,Mint,No,560,140.0,51,Green,Green,1x1,500.0,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,,,All Year,All Year,,Free,Free,Simple,Simple,everyday; formal; work,4,Yes,For sale,1.0.0,Yes,TopsTexTopYshirtsLStandard2,40,8338,mQqbQPJKfgqGHwDxj,2092
dress shirt,,,Blue,No,560,140.0,51,Blue,Blue,1x1,500.0,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,,,All Year,All Year,,Free,Free,Simple,Simple,everyday; formal; work,5,Yes,For sale,1.0.0,Yes,TopsTexTopYshirtsLStandard4,40,8340,L88LYrMAXuKeyAA5Y,2094
dynamic tank top,,,Black,No,800,200.0,51,Black,Red,1x1,720.0,Poki,Able Sisters,,,,Summer,Summer,,Free,Free,Cool,Simple,everyday; party; work,1,Yes,For sale,2.0.0,Yes,TopsTexTopTshirtsNPendant0,1443,14732,m5bAJ6YadnW9EoNQ8,398C
dynamic tank top,,,Dark red,No,800,200.0,51,Red,Yellow,1x1,720.0,Poki,Able Sisters,,,,Summer,Summer,,Free,Free,Cool,Simple,everyday; party; work,2,Yes,For sale,2.0.0,Yes,TopsTexTopTshirtsNPendant2,1443,14979,eMc5JANsMwRSmksfx,3A83
dynamic tank top,,,Navy blue,No,800,200.0,51,Blue,Aqua,1x1,720.0,Poki,Able Sisters,,,,Summer,Summer,,Free,Free,Cool,Simple,everyday; party; work,3,Yes,For sale,2.0.0,Yes,TopsTexTopTshirtsNPendant3,1443,14980,ZeLe25wZriz5pxNhZ,3A84
dynamic tank top,,,Purple,No,800,200.0,51,Purple,Pink,1x1,720.0,Poki,Able Sisters,,,,Summer,Summer,,Free,Free,Cool,Simple,everyday; party; work,4,Yes,For sale,2.0.0,Yes,TopsTexTopTshirtsNPendant1,1443,14978,thopsTp98g9sP6z33,3A82
earbuds combo,,,Yellow,No,1400,350.0,51,Yellow,Black,1x1,1300.0,Poki,Able Sisters,Available from Able Sisters shop only,,,All Year,All Year,,Free,Free,Cool,Simple,everyday; comfy,1,Yes,For sale,1.0.0,Yes,TopsTexTopTshirtsLEarphone3,476,8409,tBS9Afmch8GoiZyNf,20D9
earbuds combo,,,Green,No,1400,350.0,51,Green,Black,1x1,1300.0,Poki,Able Sisters,Available from Able Sisters shop only,,,All Year,All Year,,Free,Free,Cool,Simple,everyday; comfy,2,Yes,For sale,1.0.0,Yes,TopsTexTopTshirtsLEarphone1,476,8407,Z5EPZbr42inQuqMF7,20D7
earbuds combo,,,Blue,No,1400,350.0,51,Blue,Black,1x1,1300.0,Poki,Able Sisters,Available from Able Sisters shop only,,,All Year,All Year,,Free,Free,Cool,Simple,everyday; comfy,3,Yes,For sale,1.0.0,Yes,TopsTexTopTshirtsLEarphone2,476,8408,xyaJkC2hXewt3EgwR,20D8
earbuds combo,,,Brown,No,1400,350.0,51,Brown,Black,1x1,1300.0,Poki,Able Sisters,Available from Able Sisters shop only,,,All Year,All Year,All Year,Free,Free,Cool,Simple,everyday; comfy,4,Yes,For sale,1.0.0,Yes,TopsTexTopTshirtsLEarphone0,476,4610,TAqWXoLXei58ghDxY,1202
Edo-period merchant outfit,,,Dark blue,No,2080,520.0,51,Blue,Gray,1x1,1900.0,Poki,Able Sisters,,,,All Year,All Year,,Free,Free,Cool,Simple,fairy tale; work,1,Yes,For sale,2.0.0,Yes,TopsTexTopCoatHGoyokiki0,1486,14847,bSgvi3sBmJugDuEEp,39FF
Edo-period merchant outfit,,,Fuchsia,No,2080,520.0,51,Red,Beige,1x1,1900.0,Poki,Able Sisters,,,,All Year,All Year,,Free,Free,Cool,Simple,fairy tale; work,2,Yes,For sale,2.0.0,Yes,TopsTexTopCoatHGoyokiki1,1486,454,PS8xoGw4nR2jJr6eD,01C6
Edo-period merchant outfit,,,Pale green,No,2080,520.0,51,Green,Gray,1x1,1900.0,Poki,Able Sisters,,,,All Year,All Year,,Free,Free,Cool,Simple,fairy tale; work,3,Yes,For sale,2.0.0,Yes,TopsTexTopCoatHGoyokiki2,1486,455,uK4ZNi68ZvqcW87jS,01C7
Edo-period merchant outfit,,,Purple,No,2080,520.0,51,Purple,Gray,1x1,1900.0,Poki,Able Sisters,,,,All Year,All Year,,Free,Free,Cool,Simple,fairy tale; work,4,Yes,For sale,2.0.0,Yes,TopsTexTopCoatHGoyokiki3,1486,456,mw387xZMB2fjHcuKx,01C8
Edo-period merchant outfit,,,Gray,No,2080,520.0,51,Gray,Black,1x1,1900.0,Poki,Able Sisters,,,,All Year,All Year,,Free,Free,Cool,Simple,fairy tale; work,5,Yes,For sale,2.0.0,Yes,TopsTexTopCoatHGoyokiki4,1486,457,k9a2LfLjz7v3MZsRE,01C9
eight-ball tee,,,,No,560,140.0,51,Black,White,1x1,500.0,Poki,Nook Shopping Daily Selection,,,,All Year,Summer,,Free,Free,Active,Simple,everyday; comfy,1,Yes,For sale,1.0.0,Yes,TopsTexTopTshirtsHNumberball8,136,3325,aGNGuPAvfzWYZyFXB,0CFD
emblem blazer,,,Berry red,No,1960,490.0,51,Red,Pink,1x1,1800.0,Poki,Able Sisters,Available from Able Sisters shop only,,,All Year,All Year,,Free,Free,Elegant,Cool,formal,1,Yes,For sale,1.0.0,Yes,TopsTexTopYshirtsLBlazer3,111,8111,2DXpovF8mqLzFsrEW,1FAF
emblem blazer,,,Green,No,1960,490.0,51,Green,Red,1x1,1800.0,Poki,Able Sisters,Available from Able Sisters shop only,,,All Year,All Year,,Free,Free,Elegant,Cool,formal,2,Yes,For sale,1.0.0,Yes,TopsTexTopYshirtsLBlazer0,111,3269,McjR5xxmfs7XvcAzp,0CC5
emblem blazer,,,Navy blue,No,1960,490.0,51,Blue,Blue,1x1,1800.0,Poki,Able Sisters,Available from Able Sisters shop only,,,All Year,All Year,,Free,Free,Elegant,Cool,formal,3,Yes,For sale,1.0.0,Yes,TopsTexTopYshirtsLBlazer1,111,8109,gy9DWXDAexJYDrewK,1FAD
emblem blazer,,,Beige,No,1960,490.0,51,Brown,Green,1x1,1800.0,Poki,Able Sisters,Available from Able Sisters shop only,,,All Year,All Year,,Free,Free,Elegant,Cool,formal,4,Yes,For sale,1.0.0,Yes,TopsTexTopYshirtsLBlazer2,111,8110,TGS8o5dMpySdP32ZD,1FAE
embroidered tank,,,Red,No,960,240.0,51,Red,White,1x1,860.0,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,Summer (shopping),No,Summer,Summer,,Free,Free,Cute,Active,everyday; comfy; vacation,1,Yes,For sale,1.0.0,Yes,TopsTexTopTshirtsNEmbroidery0,746,5441,9DzqH7aMSv95fJKRi,1541
embroidered tank,,,Pink,No,960,240.0,51,Pink,White,1x1,860.0,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,Summer (shopping),No,Summer,Summer,,Free,Free,Cute,Active,everyday; comfy; vacation,2,Yes,For sale,1.0.0,Yes,TopsTexTopTshirtsNEmbroidery3,746,8092,W5CLaXunDqKhGgf35,1F9C
embroidered tank,,,Beige,No,960,240.0,51,Orange,White,1x1,860.0,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,Summer (shopping),No,Summer,Summer,,Free,Free,Cute,Active,everyday; comfy; vacation,3,Yes,For sale,1.0.0,Yes,TopsTexTopTshirtsNEmbroidery5,746,8094,JFwe4zXwigsMto5jB,1F9E
embroidered tank,,,Green,No,960,240.0,51,Green,White,1x1,860.0,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,Summer (shopping),No,Summer,Summer,,Free,Free,Cute,Active,everyday; comfy; vacation,4,Yes,For sale,1.0.0,Yes,TopsTexTopTshirtsNEmbroidery4,746,8093,2Chdb8nsWRDZ7CkMT,1F9D
embroidered tank,,,Blue,No,960,240.0,51,Blue,White,1x1,860.0,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,Summer (shopping),No,Summer,Summer,,Free,Free,Cute,Active,everyday; comfy; vacation,5,Yes,For sale,1.0.0,Yes,TopsTexTopTshirtsNEmbroidery2,746,8091,2K72KeAGyAKbedWiT,1F9B
embroidered tank,,,Navy blue,No,960,240.0,51,Blue,White,1x1,860.0,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,Summer (shopping),No,Summer,Summer,,Free,Free,Cute,Active,everyday; comfy; vacation,6,Yes,For sale,1.0.0,Yes,TopsTexTopTshirtsNEmbroidery6,746,8095,6irGeSdqQsYeMi5vr,1F9F
embroidered tank,,,Purple,No,960,240.0,51,Purple,White,1x1,860.0,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,Summer (shopping),No,Summer,Summer,,Free,Free,Cute,Active,everyday; comfy; vacation,7,Yes,For sale,1.0.0,Yes,TopsTexTopTshirtsNEmbroidery1,746,8090,hYZdoywEYD2xwiy9f,1F9A
energetic sweater,,,Pink,No,960,240.0,51,Pink,Yellow,1x1,860.0,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,,,All Year,Spring,,Free,Free,Simple,Simple,everyday; comfy,1,Yes,For sale,1.0.0,Yes,TopsTexTopYshirtsLKids3,616,7638,npAHqkah6boHyWapW,1DD6
energetic sweater,,,Yellow,No,960,240.0,51,Yellow,Aqua,1x1,860.0,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,,,All Year,Spring,,Free,Free,Simple,Simple,everyday; comfy,2,Yes,For sale,1.0.0,Yes,TopsTexTopYshirtsLKids0,616,5262,b73ao3rF3oavR8z4N,148E
energetic sweater,,,Light blue,No,960,240.0,51,Aqua,Pink,1x1,860.0,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,,,All Year,Spring,,Free,Free,Simple,Simple,everyday; comfy,3,Yes,For sale,1.0.0,Yes,TopsTexTopYshirtsLKids1,616,7636,E6ALXxWpkw9utQtdC,1DD4
energetic sweater,,,Purple,No,960,240.0,51,Purple,Green,1x1,860.0,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,,,All Year,Spring,,Free,Free,Simple,Simple,everyday; comfy,4,Yes,For sale,1.0.0,Yes,TopsTexTopYshirtsLKids2,616,7637,FS6rPfKWZk6erLJ9S,1DD5
explorer shirt,,,Beige,No,1120,280.0,51,Gray,Green,1x1,1000.0,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,,,All Year,All Year,,Free,Free,Active,Active,outdoorsy; work,1,Yes,For sale,1.0.0,Yes,TopsTexTopYshirtsHExplorer2,107,9432,m2Jz8dTEe675cwCFg,24D8
explorer shirt,,,Avocado,No,1120,280.0,51,Green,Red,1x1,1000.0,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,,,All Year,All Year,,Free,Free,Active,Active,outdoorsy; work,2,Yes,For sale,1.0.0,Yes,TopsTexTopYshirtsHExplorer1,107,9431,38yGvATTz5s8nD6fk,24D7
explorer shirt,,,Blue,No,1120,280.0,51,Blue,Yellow,1x1,1000.0,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,,,All Year,All Year,,Free,Free,Active,Active,outdoorsy; work,3,Yes,For sale,1.0.0,Yes,TopsTexTopYshirtsHExplorer3,107,9433,2FszT8afYqxji5xW3,24D9
explorer shirt,,,Camel,No,1120,280.0,51,Beige,Orange,1x1,1000.0,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,,,All Year,All Year,All Year,Free,Free,Active,Active,outdoorsy; work,4,Yes,For sale,1.0.0,Yes,TopsTexTopYshirtsHExplorer0,107,3264,mafpBag6Kcdxw3zpb,0CC0
fast-food uniform,,,Black,No,1200,300.0,51,Black,Red,1x1,1100.0,Poki,Able Sisters,,,,All Year,All Year,,Free,Free,Active,Simple,work,1,Yes,For sale,2.0.0,Yes,TopsTexTopCoatHCrew0,1442,14727,WX7EZ7ZpQYHmhnAry,3987
fast-food uniform,,,Blue,No,1200,300.0,51,Black,Blue,1x1,1100.0,Poki,Able Sisters,,,,All Year,All Year,,Free,Free,Active,Simple,work,2,Yes,For sale,2.0.0,Yes,TopsTexTopCoatHCrew1,1442,435,6eet6DJLytgY6w7oo,01B3
fast-food uniform,,,Pink,No,1200,300.0,51,Pink,Aqua,1x1,1100.0,Poki,Able Sisters,,,,All Year,All Year,,Free,Free,Active,Simple,work,3,Yes,For sale,2.0.0,Yes,TopsTexTopCoatHCrew5,1442,439,Cv5jxPFHdtvKRtNYN,01B7
fast-food uniform,,,Orange,No,1200,300.0,51,Orange,Green,1x1,1100.0,Poki,Able Sisters,,,,All Year,All Year,,Free,Free,Active,Simple,work,4,Yes,For sale,2.0.0,Yes,TopsTexTopCoatHCrew2,1442,436,KzsLbRZ9aPArxWX6M,01B4
fast-food uniform,,,Green,No,1200,300.0,51,Green,Yellow,1x1,1100.0,Poki,Able Sisters,,,,All Year,All Year,,Free,Free,Active,Simple,work,5,Yes,For sale,2.0.0,Yes,TopsTexTopCoatHCrew3,1442,437,8pov7wGtstiw7Kjnb,01B5
fast-food uniform,,,Brown,No,1200,300.0,51,Brown,Beige,1x1,1100.0,Poki,Able Sisters,,,,All Year,All Year,,Free,Free,Active,Simple,work,6,Yes,For sale,2.0.0,Yes,TopsTexTopCoatHCrew4,1442,438,FG5HCNRmykopeSXiM,01B6
faux-hair sweater,,,White,No,1200,300.0,51,White,Black,1x1,1100.0,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,Winter (shopping),No,Winter,Winter,,Free,Free,Cool,Simple,comfy,1,Yes,For sale,1.0.0,Yes,TopsTexTopOuterLMohair1,350,7648,ov6EXHn8MFDMPWEbr,1DE0
faux-hair sweater,,,Red,No,1200,300.0,51,Red,Black,1x1,1100.0,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,Winter (shopping),No,Winter,Winter,Winter,Free,Free,Cool,Simple,comfy,2,Yes,For sale,1.0.0,Yes,TopsTexTopOuterLMohair0,350,4417,j9z6bwxTqZqSpEEbs,1141
faux-shearling coat,,,Gray,No,1680,420.0,51,Gray,White,1x1,1500.0,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,Winter (shopping),No,Winter,Winter,,Free,Free,Elegant,Cute,everyday; outdoorsy,1,Yes,For sale,1.0.0,Yes,TopsTexTopCoatLMouton4,84,9225,xASWpNjz7nip6orFK,2409
