Name,Image,High-Res Texture,Genuine,Category,Buy,Sell,Color 1,Color 2,Size,Real Artwork Title,Artist,Description,Source,Source Notes,HHA Base Points,HHA Concept 1,HHA Concept 2,HHA Series,HHA Set,Interact,Tag,Speaker Type,Lighting Type,Catalog,Version Added,Unlocked?,Filename,Internal ID,Unique Entry ID,Internal ID as hex
solemn painting,,,No,Wall-mounted,4980,,Black,Beige,2x2,Las Meninas,"Diego Velázquez, circa 1656, Oil on canvas","This famous piece by Velázquez, who served the Spanish court, shows us something about perspective. It depicts a young princess with her ""ladies-in-waiting."" The artist himself is seen to the left. The king and queen are reflected in the mirror to the artist's right, so the perspective is that of the king. The king...watching the artist...paint the king and the queen...",Jolly Redd's Treasure Trawler,,17,horror,,,,No,Picture,Does not play music,No lighting,Not for sale,1.2.0,Yes,FtrArtLasMeninasFake,71,nk6zayAkJFzinuKDK,0047
tremendous statue,,,Yes,Housewares,4980,1245.0,Green,Green,2x1,Houmuwu Ding,"Artist Unknown, 1200 BCE, Bronze",This bronze ding from ancient China is the largest and heaviest ever found. The script on the inside suggests it was created to honor the king's mother.,Jolly Redd's Treasure Trawler,,451,ancient,harmonious,,,No,Sculpture,Does not play music,No lighting,Not for sale,1.2.0,Yes,FtrSculptureHoumuwuDing,12537,jNGr7gorm7HSW3saj,30F9
tremendous statue,,,No,Housewares,4980,,Green,Green,2x1,Houmuwu Ding,"Artist Unknown, 1200 BCE, Bronze",This bronze ding from ancient China is the largest and heaviest ever found. The script on the inside suggests it was created to honor the king's mother.,Jolly Redd's Treasure Trawler,,17,horror,,,,No,Sculpture,Does not play music,No lighting,Not for sale,1.2.0,Yes,FtrSculptureHoumuwuDingFake,12538,JixcFeWLnkcAy7rnu,30FA
twinkling painting,,,Yes,Wall-mounted,4980,1245.0,Blue,Black,1x1,The Starry Night,"Vincent van Gogh, 1889, Oil on canvas","Van Gogh's signature piece, painted while he was hospitalized at an asylum. This view from his room includes memories and imaginations. In letters to friends, the artist called it a failure.",Jolly Redd's Treasure Trawler,,451,expensive,European,,,No,Picture,Does not play music,No lighting,Not for sale,1.2.0,Yes,FtrArtStarryNight,12618,vd2Naaf6TREFTQsdy,314A
valiant statue,,,Yes,Housewares,4980,1245.0,White,White,2x2,Nike of Samothrace,"Artist Unknown, circa 190 BCE, Marble","A statue of the goddess of victory, Nike, found on Samothrace. It shows Nike alighting on the prow of a ship. Originally found in separate pieces, it has largely been restored, but the arms and head are still missing.",Jolly Redd's Treasure Trawler,,451,ancient,European,,,No,Sculpture,Does not play music,No lighting,Not for sale,1.2.0,Yes,FtrSculptureSamothrace,1345,stPbtNz5bpPCb3eRy,0541
valiant statue,,,No,Housewares,4980,,White,White,2x2,Nike of Samothrace,"Artist Unknown, circa 190 BCE, Marble","A statue of the goddess of victory, Nike, found on Samothrace. It shows Nike alighting on the prow of a ship. Originally found in separate pieces, it has largely been restored, but the arms and head are still missing.",Jolly Redd's Treasure Trawler,,17,horror,,,,No,Sculpture,Does not play music,No lighting,Not for sale,1.2.0,Yes,FtrSculptureSamothraceFake,1346,FWFGsBRxrdnE4RSXa,0542
warm painting,,,Yes,Wall-mounted,4980,1245.0,Black,Gray,2x1,The Clothed Maja,"Francisco de Goya, circa 1805, Oil on canvas","It is said that this painting is a more discreet version of an earlier work known as ""The Nude Maja."" It is also known that Francisco de Goya was quite popular in his own time. Could these facts be related? A third, unrelated fact—the word ""maja"" refers to a ""stylish young lady of Madrid.""",Jolly Redd's Treasure Trawler,,451,expensive,European,,,No,Picture,Does not play music,No lighting,Not for sale,1.2.0,Yes,FtrArtClothedMaja,34,SD7NXc97t2b4f74xi,0022
warrior statue,,,Yes,Housewares,4980,1245.0,Gray,Gray,1x1,Terracotta Army,"Artist Unknown, 210 BCE, Earthenware","These terracotta warriors were buried with the first Qin emperor to protect him in the afterlife. Nearly 2,000 years later, in 1974, about 8,000 of them were found. Each statue is said to have been handmade with different poses, expressions, and clothing.",Jolly Redd's Treasure Trawler,,451,ancient,harmonious,,,No,Sculpture,Does not play music,No lighting,Not for sale,1.2.0,Yes,FtrSculptureHeibayo,12539,5ZWqwpgKjNRGgT44E,30FB
warrior statue,,,No,Housewares,4980,,Gray,Gray,1x1,Terracotta Army,"Artist Unknown, 210 BCE, Earthenware","These terracotta warriors were buried with the first Qin emperor to protect him in the afterlife. Nearly 2,000 years later, in 1974, about 8,000 of them were found. Each statue is said to have been handmade with different poses, expressions, and clothing.",Jolly Redd's Treasure Trawler,,17,horror,,,,No,Sculpture,Does not play music,No lighting,Not for sale,1.2.0,Yes,FtrSculptureHeibayoFake,12540,phB8tH4gdSYwq48Gs,30FC
wild painting left half,,,Yes,Housewares,4980,1245.0,Orange,Brown,2x1,Folding Screen of Fūjin and Raijin (L),"Tawaraya Sōtatsu, 17th century, Gold leaf and ink on paper","This folding screen shows dynamic brushwork of Fūjin and Raijin on a gold-leaf background. It is thought to be the masterpiece of Tawaraya Sōtatsu, an early-Edo-period artist. The simplification of the subjects is a style that was carried on by Ogata Kōrin. It's a style still in use today in the Rinpa school of Japanese painting.",Jolly Redd's Treasure Trawler,,451,harmonious,,,,No,Picture,Does not play music,No lighting,Not for sale,1.2.0,Yes,FtrArtRaijin,12570,hMQkJiQG5cNGQxKCE,311A
wild painting left half,,,No,Housewares,4980,,Orange,Brown,2x1,Folding Screen of Fūjin and Raijin (L),"Tawaraya Sōtatsu, 17th century, Gold leaf and ink on paper","This folding screen shows dynamic brushwork of Fūjin and Raijin on a gold-leaf background. It is thought to be the masterpiece of Tawaraya Sōtatsu, an early-Edo-period artist. The simplification of the subjects is a style that was carried on by Ogata Kōrin. It's a style still in use today in the Rinpa school of Japanese painting.",Jolly Redd's Treasure Trawler,,17,horror,,,,No,Picture,Does not play music,No lighting,Not for sale,1.2.0,Yes,FtrArtRaijinFake,12571,E9szuomHevSfq8yY3,311B
wild painting right half,,,Yes,Housewares,4980,1245.0,Beige,Brown,2x1,Folding Screen of Fūjin and Raijin (R),"Tawaraya Sōtatsu, 17th century, Gold leaf and ink on paper","This folding screen shows dynamic brushwork of Fūjin and Raijin on a gold-leaf background. It is thought to be the masterpiece of Tawaraya Sōtatsu, an early-Edo-period artist. The simplification of the subjects is a style that was carried on by Ogata Kōrin. It's a style still in use today in the Rinpa school of Japanese painting.",Jolly Redd's Treasure Trawler,,451,harmonious,,,,No,Picture,Does not play music,No lighting,Not for sale,1.2.0,Yes,FtrArtFuujin,76,rcXt6qMXZh9jj4ojN,004C
wild painting right half,,,No,Housewares,4980,,Beige,Brown,2x1,Folding Screen of Fūjin and Raijin (R),"Tawaraya Sōtatsu, 17th century, Gold leaf and ink on paper","This folding screen shows dynamic brushwork of Fūjin and Raijin on a gold-leaf background. It is thought to be the masterpiece of Tawaraya Sōtatsu, an early-Edo-period artist. The simplification of the subjects is a style that was carried on by Ogata Kōrin. It's a style still in use today in the Rinpa school of Japanese painting.",Jolly Redd's Treasure Trawler,,17,horror,,,,No,Picture,Does not play music,No lighting,Not for sale,1.2.0,Yes,FtrArtFuujinFake,75,aKefsi2sySXJkzPLo,004B
wistful painting,,,Yes,Wall-mounted,4980,1245.0,Black,Beige,1x1,Girl with a Pearl Earring,"Johannes Vermeer, circa 1665, Oil on canvas","Also known as ""Girl with a Turban,"" this piece uses ultramarine paint, which was expensive at the time. It seems the expense was worth it, as the vivid blue colors draw the eye and help make the piece a classic. The only question is... Is that a real pearl earring? Or something else...",Jolly Redd's Treasure Trawler,,451,expensive,European,,,No,Picture,Does not play music,No lighting,Not for sale,1.2.0,Yes,FtrArtPearlEarring,28,Mupx2ny4sM3Kbfs3v,001C
wistful painting,,,No,Wall-mounted,4980,,Black,Beige,1x1,Girl with a Pearl Earring,"Johannes Vermeer, circa 1665, Oil on canvas","Also known as ""Girl with a Turban,"" this piece uses ultramarine paint, which was expensive at the time. It seems the expense was worth it, as the vivid blue colors draw the eye and help make the piece a classic. The only question is... Is that a real pearl earring? Or something else...",Jolly Redd's Treasure Trawler,,17,horror,,,,No,Picture,Does not play music,No lighting,Not for sale,1.2.0,Yes,FtrArtPearlEarringFake,27,c7zw6f8Dbe5h9oJni,001B
worthy painting,,,Yes,Wall-mounted,4980,1245.0,Black,Beige,2x1.5,Liberty Leading the People,"Eugène Delacroix, 1830, Oil on canvas","Painted by leading 19th century Romantic artist Delacroix in the same year as a French revolution. The woman in the center is often mistaken for Joan of Arc, but she is actually the fictional ""Marianne.""",Jolly Redd's Treasure Trawler,,451,expensive,European,,,No,Picture,Does not play music,No lighting,Not for sale,1.2.0,Yes,FtrArtLibertyLeading,68,8R3LhTWJzqHmPPPvK,0044
